method,metric,mean,std,n
graph_ppr,acc,1.000000,0.000000,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.826733,0.047497,5
minsim,acc,0.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.020833,0.001145,5
nn,acc,0.000000,0.000000,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.011479,0.000029,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,49.955500,5.612973,5
topogps,rt_ms,9.516836,0.894270,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,1.204704,0.025994,5
topogps_no_cue,acc,0.082100,0.086087,5
topogps_no_cue,coarse_visited,2477.173300,29.001652,5
topogps_no_cue,fine_steps,93.289000,8.340474,5
topogps_no_cue,rt_ms,28.743623,1.592327,5
