method,metric,mean,std,n
graph_ppr,acc,1.000000,0.000000,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.840715,0.069981,5
minsim,acc,0.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.019479,0.002822,5
nn,acc,0.000000,0.000000,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.010671,0.001751,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,0.000000,0.000000,5
topogps,rt_ms,1.337843,0.026535,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,1.211868,0.028828,5
topogps_no_cue,acc,0.000000,0.000000,5
topogps_no_cue,coarse_visited,2477.173300,29.001652,5
topogps_no_cue,fine_steps,0.000000,0.000000,5
topogps_no_cue,rt_ms,13.549497,0.241694,5
