method,metric,mean,std,n
graph_ppr,acc,1.000000,0.000000,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.825282,0.041753,5
minsim,acc,0.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.020079,0.000883,5
nn,acc,0.000000,0.000000,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.011216,0.000297,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,63.091800,5.225258,5
topogps,rt_ms,25.287945,2.061156,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,1.260510,0.023832,5
topogps_no_cue,acc,0.062000,0.092801,5
topogps_no_cue,coarse_visited,2492.710300,8.263792,5
topogps_no_cue,fine_steps,106.425400,10.074028,5
topogps_no_cue,rt_ms,53.769407,3.930266,5
