method,metric,mean,std,n
graph_ppr,acc,1.000000,0.000000,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.838049,0.087356,5
minsim,acc,0.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.018953,0.000974,5
nn,acc,0.000000,0.000000,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.011424,0.000046,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,0.000000,0.000000,5
topogps,rt_ms,1.542885,0.021330,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,1.267007,0.023297,5
topogps_no_cue,acc,0.000000,0.000000,5
topogps_no_cue,coarse_visited,2492.710300,8.263792,5
topogps_no_cue,fine_steps,0.000000,0.000000,5
topogps_no_cue,rt_ms,13.762441,0.138716,5
