method,metric,mean,std,n
graph_ppr,acc,0.979700,0.045392,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.270269,0.137214,5
minsim,acc,1.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.018453,0.002479,5
nn,acc,0.766600,0.109076,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.010614,0.001768,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,0.000000,0.000000,5
topogps,rt_ms,0.894319,0.008262,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,0.617074,0.007329,5
topogps_no_cue,acc,0.684500,0.126282,5
topogps_no_cue,coarse_visited,2363.451300,55.165508,5
topogps_no_cue,fine_steps,0.000000,0.000000,5
topogps_no_cue,rt_ms,13.384778,0.301546,5
