method,metric,mean,std,n
graph_ppr,acc,0.979700,0.045392,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.284557,0.131459,5
minsim,acc,1.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.018194,0.003612,5
nn,acc,0.766600,0.109076,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.010776,0.003328,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,109.247900,3.635161,5
topogps,rt_ms,41.715998,1.386223,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,0.616890,0.004653,5
topogps_no_cue,acc,0.518600,0.184041,5
topogps_no_cue,coarse_visited,2363.451300,55.165508,5
topogps_no_cue,fine_steps,54.312300,5.260458,5
topogps_no_cue,rt_ms,33.554359,1.847072,5
