method,metric,mean,std,n
graph_ppr,acc,0.979700,0.045392,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.276299,0.093521,5
minsim,acc,1.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.019967,0.001109,5
nn,acc,0.766600,0.109076,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.011392,0.000283,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,0.000000,0.000000,5
topogps,rt_ms,0.694388,0.007563,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,0.564948,0.004313,5
topogps_no_cue,acc,0.766600,0.109076,5
topogps_no_cue,coarse_visited,2317.448100,51.148217,5
topogps_no_cue,fine_steps,0.000000,0.000000,5
topogps_no_cue,rt_ms,12.838210,0.247798,5
