method,metric,mean,std,n
graph_ppr,acc,0.979700,0.045392,5
graph_ppr,coarse_visited,0.000000,0.000000,5
graph_ppr,fine_steps,0.000000,0.000000,5
graph_ppr,rt_ms,12.294783,0.132318,5
minsim,acc,1.000000,0.000000,5
minsim,coarse_visited,0.000000,0.000000,5
minsim,fine_steps,0.000000,0.000000,5
minsim,rt_ms,0.020784,0.000795,5
nn,acc,0.766600,0.109076,5
nn,coarse_visited,0.000000,0.000000,5
nn,fine_steps,0.000000,0.000000,5
nn,rt_ms,0.011164,0.000262,5
topogps,acc,1.000000,0.000000,5
topogps,coarse_visited,3.000000,0.000000,5
topogps,fine_steps,111.137900,3.488210,5
topogps,rt_ms,19.095495,0.548334,5
topogps_cuepath,acc,1.000000,0.000000,5
topogps_cuepath,coarse_visited,3.000000,0.000000,5
topogps_cuepath,fine_steps,0.000000,0.000000,5
topogps_cuepath,rt_ms,0.560660,0.001870,5
topogps_no_cue,acc,0.518500,0.132629,5
topogps_no_cue,coarse_visited,2317.448100,51.148217,5
topogps_no_cue,fine_steps,26.148200,4.075930,5
topogps_no_cue,rt_ms,17.166647,0.800675,5
