method,metric,mean,std,n
graph_ppr,acc,0.977778,0.038490,3
graph_ppr,coarse_visited,0.000000,0.000000,3
graph_ppr,fine_steps,0.000000,0.000000,3
graph_ppr,rt_ms,5.393719,1.439453,3
nn,acc,0.000000,0.000000,3
nn,coarse_visited,0.000000,0.000000,3
nn,fine_steps,0.000000,0.000000,3
nn,rt_ms,0.118120,0.021794,3
topogps,acc,0.533333,0.057735,3
topogps,coarse_visited,2.088889,0.153960,3
topogps,fine_steps,0.000000,0.000000,3
topogps,rt_ms,3.041177,0.295208,3
topogps_no_cue,acc,0.000000,0.000000,3
topogps_no_cue,coarse_visited,12.333333,17.039171,3
topogps_no_cue,fine_steps,0.000000,0.000000,3
topogps_no_cue,rt_ms,1.255716,0.129116,3
