method,metric,mean,std,n
graph_ppr,acc,0.622222,0.211695,3
graph_ppr,coarse_visited,0.000000,0.000000,3
graph_ppr,fine_steps,0.000000,0.000000,3
graph_ppr,rt_ms,5.013977,1.014292,3
nn,acc,0.000000,0.000000,3
nn,coarse_visited,0.000000,0.000000,3
nn,fine_steps,0.000000,0.000000,3
nn,rt_ms,0.133746,0.022995,3
topogps_cuepath,acc,0.088889,0.153960,3
topogps_cuepath,coarse_visited,1.177778,0.307920,3
topogps_cuepath,fine_steps,0.000000,0.000000,3
topogps_cuepath,rt_ms,2.113427,0.096586,3
topogps_no_cue,acc,0.000000,0.000000,3
topogps_no_cue,coarse_visited,5.844444,7.541392,3
topogps_no_cue,fine_steps,0.000000,0.000000,3
topogps_no_cue,rt_ms,1.265553,0.086272,3
