method,metric,mean,std,n
graph_ppr,acc,0.222222,0.384900,3
graph_ppr,coarse_visited,0.000000,0.000000,3
graph_ppr,fine_steps,0.000000,0.000000,3
graph_ppr,rt_ms,4.377160,1.652153,3
nn,acc,0.000000,0.000000,3
nn,coarse_visited,0.000000,0.000000,3
nn,fine_steps,0.000000,0.000000,3
nn,rt_ms,0.113423,0.014303,3
topogps,acc,0.000000,0.000000,3
topogps,coarse_visited,1.000000,0.000000,3
topogps,fine_steps,0.000000,0.000000,3
topogps,rt_ms,2.964026,0.154170,3
topogps_no_cue,acc,0.000000,0.000000,3
topogps_no_cue,coarse_visited,2.211111,1.683361,3
topogps_no_cue,fine_steps,0.000000,0.000000,3
topogps_no_cue,rt_ms,1.195609,0.049189,3
