method,metric,mean,std,n
graph_ppr,acc,0.622222,0.211695,3
graph_ppr,coarse_visited,0.000000,0.000000,3
graph_ppr,fine_steps,0.000000,0.000000,3
graph_ppr,rt_ms,4.945483,0.937446,3
nn,acc,0.000000,0.000000,3
nn,coarse_visited,0.000000,0.000000,3
nn,fine_steps,0.000000,0.000000,3
nn,rt_ms,0.147973,0.010720,3
topogps,acc,0.255556,0.250185,3
topogps,coarse_visited,1.177778,0.307920,3
topogps,fine_steps,22.200000,13.187873,3
topogps,rt_ms,35.255262,18.440541,3
topogps_no_cue,acc,0.000000,0.000000,3
topogps_no_cue,coarse_visited,5.844444,7.541392,3
topogps_no_cue,fine_steps,37.955556,2.721383,3
topogps_no_cue,rt_ms,56.342356,5.903352,3
