method,metric,mean,std,n
graph_ppr,acc,0.222222,0.384900,3
graph_ppr,coarse_visited,0.000000,0.000000,3
graph_ppr,fine_steps,0.000000,0.000000,3
graph_ppr,rt_ms,4.615929,1.246500,3
nn,acc,0.000000,0.000000,3
nn,coarse_visited,0.000000,0.000000,3
nn,fine_steps,0.000000,0.000000,3
nn,rt_ms,0.140151,0.010377,3
topogps,acc,0.166667,0.288675,3
topogps,coarse_visited,1.000000,0.000000,3
topogps,fine_steps,22.200000,13.187873,3
topogps,rt_ms,37.977060,20.030903,3
topogps_no_cue,acc,0.000000,0.000000,3
topogps_no_cue,coarse_visited,2.211111,1.683361,3
topogps_no_cue,fine_steps,37.955556,2.721383,3
topogps_no_cue,rt_ms,59.620119,2.863175,3
