task,qid,method,cue_a,cue_b,target_idx,pred_idx,success,rt_ms,coarse_visited,fine_steps
associative,0,nn,0,1000,2501,0,0,0.05060000694356859,0,0
associative,1,nn,500,1000,2504,500,0,0.018499995348975062,0,0
associative,2,nn,500,1500,2505,1500,0,0.015099998563528061,0,0
associative,3,nn,0,1500,2502,0,0,0.014199991710484028,0,0
associative,4,nn,1500,2000,2509,1500,0,0.014399993233382702,0,0
associative,5,nn,1000,2000,2508,1000,0,0.01279998105019331,0,0
associative,6,nn,1500,2000,2509,1500,0,0.01200000406242907,0,0
associative,7,nn,2000,1500,2509,1500,0,0.012399978004395962,0,0
associative,8,nn,0,500,2500,0,0,0.011299998732283711,0,0
associative,9,nn,1500,0,2502,0,0,0.011399999493733048,0,0
associative,10,nn,0,2000,2503,0,0,0.011299998732283711,0,0
associative,11,nn,0,500,2500,0,0,0.011600001016631722,0,0
associative,12,nn,1500,500,2505,1500,0,0.011500000255182385,0,0
associative,13,nn,500,1000,2504,500,0,0.011500000255182385,0,0
associative,14,nn,1000,1500,2507,1000,0,0.011399999493733048,0,0
associative,15,nn,1500,1000,2507,1000,0,0.011299998732283711,0,0
associative,16,nn,2000,500,2506,500,0,0.011299998732283711,0,0
associative,17,nn,1500,2000,2509,1500,0,0.011399999493733048,0,0
associative,18,nn,0,2000,2503,0,0,0.011199997970834374,0,0
associative,19,nn,2000,1500,2509,1500,0,0.011299998732283711,0,0
associative,20,nn,2000,0,2503,0,0,0.011399999493733048,0,0
associative,21,nn,2000,1500,2509,1500,0,0.011399999493733048,0,0
associative,22,nn,1500,2000,2509,1500,0,0.011200027074664831,0,0
associative,23,nn,1000,500,2504,500,0,0.011199997970834374,0,0
associative,24,nn,0,500,2500,0,0,0.011299998732283711,0,0
associative,25,nn,1500,2000,2509,1500,0,0.011399999493733048,0,0
associative,26,nn,0,1500,2502,0,0,0.011900003300979733,0,0
associative,27,nn,1500,1000,2507,1000,0,0.01170000177808106,0,0
associative,28,nn,0,500,2500,0,0,0.011399999493733048,0,0
associative,29,nn,1500,1000,2507,1000,0,0.011299998732283711,0,0
associative,30,nn,1000,500,2504,500,0,0.011299998732283711,0,0
