task,qid,method,cue_a,cue_b,target_idx,pred_idx,success,rt_ms,coarse_visited,fine_steps
associative,0,nn,1500,1000,2507,1500,0,0.04740001168102026,0,0
associative,1,nn,2000,1000,2508,2062,0,0.017999991541728377,0,0
associative,2,nn,500,1000,2504,500,0,0.013999990187585354,0,0
associative,3,nn,500,0,2500,500,0,0.013599987141788006,0,0
associative,4,nn,500,1500,2505,500,0,0.01300001167692244,0,0
associative,5,nn,0,2000,2503,0,0,0.011800002539530396,0,0
associative,6,nn,500,0,2500,500,0,0.011099997209385037,0,0
associative,7,nn,1000,2000,2508,2062,0,0.011500000255182385,0,0
associative,8,nn,1500,500,2505,500,0,0.011500000255182385,0,0
associative,9,nn,1000,0,2501,0,0,0.011600001016631722,0,0
associative,10,nn,500,2000,2506,500,0,0.010899995686486363,0,0
associative,11,nn,1000,0,2501,0,0,0.0109999964479357,0,0
associative,12,nn,0,500,2500,500,0,0.011299998732283711,0,0
associative,13,nn,0,500,2500,500,0,0.011199997970834374,0,0
associative,14,nn,1500,1000,2507,1500,0,0.010899995686486363,0,0
associative,15,nn,2000,0,2503,0,0,0.010800024028867483,0,0
associative,16,nn,2000,0,2503,0,0,0.010800024028867483,0,0
associative,17,nn,2000,1000,2508,2062,0,0.010800024028867483,0,0
associative,18,nn,1500,1000,2507,1500,0,0.01090002479031682,0,0
associative,19,nn,1500,500,2505,500,0,0.010799994925037026,0,0
associative,20,nn,500,0,2500,500,0,0.0109999964479357,0,0
associative,21,nn,1500,0,2502,66,0,0.011000025551766157,0,0
associative,22,nn,2000,0,2503,0,0,0.011199997970834374,0,0
associative,23,nn,0,1500,2502,66,0,0.010899995686486363,0,0
associative,24,nn,500,1000,2504,500,0,0.010800024028867483,0,0
associative,25,nn,500,1000,2504,500,0,0.010700023267418146,0,0
associative,26,nn,2000,1000,2508,2062,0,0.011000025551766157,0,0
associative,27,nn,1500,1000,2507,1500,0,0.010800024028867483,0,0
associative,28,nn,1500,500,2505,500,0,0.010800024028867483,0,0
associative,29,nn,2000,0,2503,0,0,0.011000025551766157,0,0
associative,30,nn,1000,500,2504,500,0,0.011299998732283711,0,0
associative,31,nn,2000,0,2503,0,0,0.011299998732283711,0,0
associative,32,nn,0,500,2500,500,0,0.0109999964479357,0,0
associative,33,nn,500,1500,2505,500,0,0.010799994925037026,0,0
associative,34,nn,500,1000,2504,500,0,0.010799994925037026,0,0
associative,35,nn,0,1500,2502,66,0,0.010799994925037026,0,0
associative,36,nn,0,1500,2502,66,0,0.0109999964479357,0,0
associative,37,nn,500,1500,2505,500,0,0.010799994925037026,0,0
associative,38,nn,1500,500,2505,500,0,0.010700023267418146,0,0
associative,39,nn,0,1500,2502,66,0,0.010700023267418146,0,0
associative,40,nn,1500,500,2505,500,0,0.011200027074664831,0,0
associative,41,nn,0,2000,2503,0,0,0.01090002479031682,0,0
associative,42,nn,2000,0,2503,0,0,0.010700023267418146,0,0
associative,43,nn,1000,500,2504,500,0,0.010700023267418146,0,0
