task,qid,method,cue_a,cue_b,target_idx,pred_idx,success,rt_ms,coarse_visited,fine_steps
bridge,0,nn,500,1000,2504,2504,1,0.04650000482797623,0,0
bridge,1,nn,0,2000,2503,2503,1,0.01829999382607639,0,0
bridge,2,nn,1500,1000,2507,2507,1,0.015100027667358518,0,0
bridge,3,nn,1000,0,2501,2501,1,0.014300021575763822,0,0
bridge,4,nn,0,1500,2502,2502,1,0.0137000170070678,0,0
bridge,5,nn,500,1500,2505,2505,1,0.012200005585327744,0,0
bridge,6,nn,2000,1500,2509,1500,0,0.011900003300979733,0,0
bridge,7,nn,0,1500,2502,2502,1,0.011500000255182385,0,0
bridge,8,nn,500,2000,2506,2000,0,0.011500000255182385,0,0
bridge,9,nn,1500,2000,2509,1500,0,0.011599971912801266,0,0
bridge,10,nn,0,1000,2501,2501,1,0.011600001016631722,0,0
bridge,11,nn,500,2000,2506,2000,0,0.01200000406242907,0,0
bridge,12,nn,500,2000,2506,2000,0,0.011399999493733048,0,0
bridge,13,nn,2000,1500,2509,1500,0,0.011500000255182385,0,0
bridge,14,nn,1000,2000,2508,2508,1,0.011600001016631722,0,0
bridge,15,nn,1000,1500,2507,2507,1,0.011399999493733048,0,0
bridge,16,nn,0,1500,2502,2502,1,0.011399999493733048,0,0
bridge,17,nn,1000,0,2501,2501,1,0.011500000255182385,0,0
bridge,18,nn,1500,0,2502,2502,1,0.011400028597563505,0,0
bridge,19,nn,500,1000,2504,2504,1,0.011299998732283711,0,0
bridge,20,nn,0,1500,2502,2502,1,0.01170000177808106,0,0
bridge,21,nn,1500,0,2502,2502,1,0.011600001016631722,0,0
bridge,22,nn,1000,0,2501,2501,1,0.011899974197149277,0,0
bridge,23,nn,0,2000,2503,2503,1,0.011399999493733048,0,0
bridge,24,nn,500,1000,2504,2504,1,0.011600001016631722,0,0
bridge,25,nn,0,1000,2501,2501,1,0.011399999493733048,0,0
bridge,26,nn,2000,1000,2508,2508,1,0.011800002539530396,0,0
bridge,27,nn,2000,0,2503,2503,1,0.01179997343569994,0,0
bridge,28,nn,500,1500,2505,2505,1,0.011600001016631722,0,0
bridge,29,nn,1500,0,2502,2502,1,0.011399999493733048,0,0
bridge,30,nn,1500,500,2505,2505,1,0.011500000255182385,0,0
bridge,31,nn,1000,0,2501,2501,1,0.01170000177808106,0,0
bridge,32,nn,500,1000,2504,2504,1,0.01200000406242907,0,0
bridge,33,nn,1500,500,2505,2505,1,0.011500000255182385,0,0
bridge,34,nn,0,1000,2501,2501,1,0.011600001016631722,0,0
bridge,35,nn,1500,2000,2509,1500,0,0.011299998732283711,0,0
bridge,36,nn,500,0,2500,2500,1,0.011299998732283711,0,0
bridge,37,nn,0,1500,2502,2502,1,0.011199997970834374,0,0
bridge,38,nn,2000,1000,2508,2508,1,0.011199997970834374,0,0
bridge,39,nn,2000,500,2506,2000,0,0.011399999493733048,0,0
bridge,40,nn,0,1500,2502,2502,1,0.012100004823878407,0,0
bridge,41,nn,1000,0,2501,2501,1,0.01170000177808106,0,0
bridge,42,nn,500,1000,2504,2504,1,0.011699972674250603,0,0
bridge,43,nn,0,500,2500,2500,1,0.011399999493733048,0,0
bridge,44,nn,1500,500,2505,2505,1,0.011299998732283711,0,0
bridge,45,nn,1500,500,2505,2505,1,0.011399999493733048,0,0
bridge,46,nn,1000,0,2501,2501,1,0.011399999493733048,0,0
bridge,47,nn,2000,0,2503,2503,1,0.011299998732283711,0,0
bridge,48,nn,0,1000,2501,2501,1,0.011500000255182385,0,0
bridge,49,nn,500,2000,2506,2000,0,0.011800002539530396,0,0
bridge,50,nn,2000,500,2506,2000,0,0.01170000177808106,0,0
bridge,51,nn,2000,0,2503,2503,1,0.011500000255182385,0,0
bridge,52,nn,0,2000,2503,2503,1,0.011500000255182385,0,0
bridge,53,nn,1500,1000,2507,2507,1,0.011500000255182385,0,0
bridge,54,nn,500,1500,2505,2505,1,0.011299998732283711,0,0
bridge,55,nn,1500,500,2505,2505,1,0.011399999493733048,0,0
bridge,56,nn,0,1000,2501,2501,1,0.011600001016631722,0,0
bridge,57,nn,0,2000,2503,2503,1,0.011399999493733048,0,0
bridge,58,nn,1500,0,2502,2502,1,0.011600001016631722,0,0
bridge,59,nn,500,1500,2505,2505,1,0.011299998732283711,0,0
bridge,60,nn,1000,0,2501,2501,1,0.011199997970834374,0,0
bridge,61,nn,500,2000,2506,2000,0,0.011299998732283711,0,0
bridge,62,nn,500,1000,2504,2504,1,0.011399999493733048,0,0
bridge,63,nn,500,0,2500,2500,1,0.011299998732283711,0,0
bridge,64,nn,2000,0,2503,2503,1,0.011199997970834374,0,0
bridge,65,nn,500,2000,2506,2000,0,0.011500000255182385,0,0
bridge,66,nn,500,1500,2505,2505,1,0.011600001016631722,0,0
bridge,67,nn,2000,1500,2509,1500,0,0.011800002539530396,0,0
bridge,68,nn,0,2000,2503,2503,1,0.011600001016631722,0,0
bridge,69,nn,2000,500,2506,2000,0,0.011299998732283711,0,0
bridge,70,nn,2000,1000,2508,2508,1,0.011299998732283711,0,0
bridge,71,nn,0,1500,2502,2502,1,0.011500000255182385,0,0
bridge,72,nn,2000,500,2506,2000,0,0.011500000255182385,0,0
bridge,73,nn,2000,1000,2508,2508,1,0.011299998732283711,0,0
bridge,74,nn,1000,1500,2507,2507,1,0.011299998732283711,0,0
bridge,75,nn,0,2000,2503,2503,1,0.011500000255182385,0,0
bridge,76,nn,2000,0,2503,2503,1,0.011900003300979733,0,0
bridge,77,nn,500,2000,2506,2000,0,0.011500000255182385,0,0
bridge,78,nn,1000,500,2504,2504,1,0.011399999493733048,0,0
bridge,79,nn,0,2000,2503,2503,1,0.011500000255182385,0,0
bridge,80,nn,2000,500,2506,2000,0,0.011299998732283711,0,0
bridge,81,nn,500,2000,2506,2000,0,0.011299998732283711,0,0
bridge,82,nn,500,1500,2505,2505,1,0.011299998732283711,0,0
bridge,83,nn,1500,500,2505,2505,1,0.011500000255182385,0,0
bridge,84,nn,0,2000,2503,2503,1,0.011500000255182385,0,0
bridge,85,nn,1500,500,2505,2505,1,0.011600001016631722,0,0
bridge,86,nn,2000,0,2503,2503,1,0.011500000255182385,0,0
bridge,87,nn,1000,0,2501,2501,1,0.011500000255182385,0,0
bridge,88,nn,1500,1000,2507,2507,1,0.011299998732283711,0,0
bridge,89,nn,1000,1500,2507,2507,1,0.011399999493733048,0,0
bridge,90,nn,2000,1500,2509,1500,0,0.011199997970834374,0,0
bridge,91,nn,0,1500,2502,2502,1,0.011399999493733048,0,0
bridge,92,nn,0,1500,2502,2502,1,0.011500000255182385,0,0
bridge,93,nn,0,1000,2501,2501,1,0.011500000255182385,0,0
bridge,94,nn,500,2000,2506,2000,0,0.011600001016631722,0,0
bridge,95,nn,0,1500,2502,2502,1,0.011299998732283711,0,0
bridge,96,nn,2000,1000,2508,2508,1,0.011299998732283711,0,0
bridge,97,nn,500,1500,2505,2505,1,0.011399999493733048,0,0
bridge,98,nn,0,1000,2501,2501,1,0.011299998732283711,0,0
bridge,99,nn,2000,1000,2508,2508,1,0.011399999493733048,0,0
bridge,100,nn,1000,2000,2508,2508,1,0.011399999493733048,0,0
bridge,101,nn,1000,0,2501,2501,1,0.011200027074664831,0,0
bridge,102,nn,0,2000,2503,2503,1,0.011399999493733048,0,0
bridge,103,nn,1500,0,2502,2502,1,0.011600001016631722,0,0
bridge,104,nn,500,1500,2505,2505,1,0.011299998732283711,0,0
bridge,105,nn,500,1500,2505,2505,1,0.011299998732283711,0,0
bridge,106,nn,2000,0,2503,2503,1,0.011299998732283711,0,0
bridge,107,nn,1000,1500,2507,2507,1,0.011299998732283711,0,0
bridge,108,nn,2000,1000,2508,2508,1,0.011500000255182385,0,0
bridge,109,nn,1000,0,2501,2501,1,0.011599971912801266,0,0
bridge,110,nn,0,1500,2502,2502,1,0.011600001016631722,0,0
bridge,111,nn,500,0,2500,2500,1,0.011399999493733048,0,0
bridge,112,nn,0,1500,2502,2502,1,0.011800002539530396,0,0
bridge,113,nn,1000,500,2504,2504,1,0.011399999493733048,0,0
bridge,114,nn,1000,2000,2508,2508,1,0.011399999493733048,0,0
bridge,115,nn,500,0,2500,2500,1,0.011600001016631722,0,0
bridge,116,nn,1000,1500,2507,2507,1,0.011300027836114168,0,0
bridge,117,nn,0,1000,2501,2501,1,0.011399999493733048,0,0
bridge,118,nn,2000,0,2503,2503,1,0.011399999493733048,0,0
bridge,119,nn,1500,500,2505,2505,1,0.011600001016631722,0,0
bridge,120,nn,1500,2000,2509,1500,0,0.011399999493733048,0,0
bridge,121,nn,0,1000,2501,2501,1,0.011500000255182385,0,0
bridge,122,nn,1000,0,2501,2501,1,0.011299998732283711,0,0
bridge,123,nn,1000,1500,2507,2507,1,0.011299998732283711,0,0
bridge,124,nn,1500,1000,2507,2507,1,0.011199997970834374,0,0
bridge,125,nn,2000,0,2503,2503,1,0.014400022337213159,0,0
bridge,126,nn,500,1500,2505,2505,1,0.011699972674250603,0,0
bridge,127,nn,1000,500,2504,2504,1,0.011399999493733048,0,0
bridge,128,nn,1000,2000,2508,2508,1,0.011399999493733048,0,0
bridge,129,nn,2000,500,2506,2000,0,0.011399999493733048,0,0
bridge,130,nn,2000,500,2506,2000,0,0.01200000406242907,0,0
bridge,131,nn,2000,500,2506,2000,0,0.011399999493733048,0,0
bridge,132,nn,0,1000,2501,2501,1,0.011399999493733048,0,0
bridge,133,nn,1000,2000,2508,2508,1,0.01170000177808106,0,0
bridge,134,nn,1000,2000,2508,2508,1,0.011399999493733048,0,0
bridge,135,nn,1000,500,2504,2504,1,0.011500000255182385,0,0
bridge,136,nn,1500,1000,2507,2507,1,0.011399999493733048,0,0
bridge,137,nn,0,500,2500,2500,1,0.011399999493733048,0,0
bridge,138,nn,500,1000,2504,2504,1,0.011299998732283711,0,0
bridge,139,nn,1000,0,2501,2501,1,0.011500000255182385,0,0
bridge,140,nn,1000,500,2504,2504,1,0.011400028597563505,0,0
bridge,141,nn,1500,0,2502,2502,1,0.011399999493733048,0,0
bridge,142,nn,1000,0,2501,2501,1,0.011199997970834374,0,0
