qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.21470000501722097,0.0,0.0,992,454,316,454,0.3,0.0,40,0.08
0,graph_ppr,1,3.9007999876048416,0.0,0.0,992,454,316,316,0.3,0.0,40,0.08
0,topogps,0,58.8385000010021,2.0,40.0,992,454,316,992,0.3,0.0,40,0.08
0,topogps_no_cue,0,56.42799998167902,7.0,40.0,992,454,316,454,0.3,0.0,40,0.08
1,nn,0,0.1576000067871064,0.0,0.0,624,1609,1448,1609,0.3,0.0,40,0.08
1,graph_ppr,1,3.813400020590052,0.0,0.0,624,1609,1448,1448,0.3,0.0,40,0.08
1,topogps,0,58.29519999679178,1.0,40.0,624,1609,1448,624,0.3,0.0,40,0.08
1,topogps_no_cue,0,51.05719997663982,42.0,36.0,624,1609,1448,624,0.3,0.0,40,0.08
2,nn,0,0.16789999790489674,0.0,0.0,467,1868,962,467,0.3,0.0,40,0.08
2,graph_ppr,1,4.384999978356063,0.0,0.0,467,1868,962,962,0.3,0.0,40,0.08
2,topogps,1,58.17790000583045,3.0,40.0,467,1868,962,962,0.3,0.0,40,0.08
2,topogps_no_cue,0,39.93990001617931,10.0,28.0,467,1868,962,1868,0.3,0.0,40,0.08
3,nn,0,0.16300001880154014,0.0,0.0,18,1953,1448,18,0.3,0.0,40,0.08
3,graph_ppr,1,4.235000000335276,0.0,0.0,18,1953,1448,1448,0.3,0.0,40,0.08
3,topogps,1,58.07200001436286,3.0,40.0,18,1953,1448,1448,0.3,0.0,40,0.08
3,topogps_no_cue,0,56.291500019142404,42.0,40.0,18,1953,1448,1953,0.3,0.0,40,0.08
4,nn,0,0.14859999646432698,0.0,0.0,1609,1842,1448,1609,0.3,0.0,40,0.08
4,graph_ppr,1,4.3163000082131475,0.0,0.0,1609,1842,1448,1448,0.3,0.0,40,0.08
4,topogps,1,59.051599993836135,3.0,40.0,1609,1842,1448,1448,0.3,0.0,40,0.08
4,topogps_no_cue,0,49.84220000915229,42.0,35.0,1609,1842,1448,1842,0.3,0.0,40,0.08
5,nn,0,0.13249999028630555,0.0,0.0,1616,1312,432,1616,0.3,0.0,40,0.08
5,graph_ppr,1,4.165699996519834,0.0,0.0,1616,1312,432,432,0.3,0.0,40,0.08
5,topogps,0,57.59839998790994,1.0,40.0,1616,1312,432,1616,0.3,0.0,40,0.08
5,topogps_no_cue,0,56.71460001030937,1.0,40.0,1616,1312,432,1312,0.3,0.0,40,0.08
6,nn,0,0.1694000093266368,0.0,0.0,196,1979,1090,196,0.3,0.0,40,0.08
6,graph_ppr,0,4.691200010711327,0.0,0.0,196,1979,1090,1448,0.3,0.0,40,0.08
6,topogps,0,52.768199995625764,1.0,36.0,196,1979,1090,389,0.3,0.0,40,0.08
6,topogps_no_cue,0,52.695499995024875,45.0,37.0,196,1979,1090,1979,0.3,0.0,40,0.08
7,nn,0,0.1406000228598714,0.0,0.0,213,992,454,992,0.3,0.0,40,0.08
