qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15940002049319446,0.0,0.0,992,454,316,454,0.0,0.0,0,0.08
0,graph_ppr,1,4.859500011662021,0.0,0.0,992,454,316,316,0.0,0.0,0,0.08
0,topogps_cuepath,0,2.4434000079054385,2.0,0.0,992,454,316,454,0.0,0.0,0,0.08
0,topogps_no_cue,0,1.208700006827712,8.0,0.0,992,454,316,454,0.0,0.0,0,0.08
1,nn,0,0.09460002183914185,0.0,0.0,624,1609,1448,1609,0.0,0.0,0,0.08
1,graph_ppr,1,6.549899990204722,0.0,0.0,624,1609,1448,1448,0.0,0.0,0,0.08
1,topogps_cuepath,1,2.613999997265637,3.0,0.0,624,1609,1448,1448,0.0,0.0,0,0.08
1,topogps_no_cue,0,1.4002999814692885,54.0,0.0,624,1609,1448,1609,0.0,0.0,0,0.08
2,nn,0,0.08960001287050545,0.0,0.0,467,1868,962,467,0.0,0.0,0,0.08
2,graph_ppr,1,4.193600005237386,0.0,0.0,467,1868,962,962,0.0,0.0,0,0.08
2,topogps_cuepath,1,1.8567999941296875,3.0,0.0,467,1868,962,962,0.0,0.0,0,0.08
2,topogps_no_cue,0,1.1882999970111996,10.0,0.0,467,1868,962,1868,0.0,0.0,0,0.08
3,nn,0,0.09100002353079617,0.0,0.0,18,1953,1448,18,0.0,0.0,0,0.08
3,graph_ppr,1,4.1812999988906085,0.0,0.0,18,1953,1448,1448,0.0,0.0,0,0.08
3,topogps_cuepath,1,1.8071999948006123,3.0,0.0,18,1953,1448,1448,0.0,0.0,0,0.08
3,topogps_no_cue,0,1.1628000065684319,54.0,0.0,18,1953,1448,1953,0.0,0.0,0,0.08
4,nn,0,0.08700002217665315,0.0,0.0,1609,1842,1448,1609,0.0,0.0,0,0.08
4,graph_ppr,1,4.169699997873977,0.0,0.0,1609,1842,1448,1448,0.0,0.0,0,0.08
4,topogps_cuepath,1,1.9303999724797904,3.0,0.0,1609,1842,1448,1448,0.0,0.0,0,0.08
4,topogps_no_cue,0,1.3208999880589545,54.0,0.0,1609,1842,1448,1842,0.0,0.0,0,0.08
5,nn,0,0.10999999358318746,0.0,0.0,1616,1312,432,1616,0.0,0.0,0,0.08
5,graph_ppr,1,6.460300006438047,0.0,0.0,1616,1312,432,432,0.0,0.0,0,0.08
5,topogps_cuepath,1,2.317100006621331,3.0,0.0,1616,1312,432,432,0.0,0.0,0,0.08
5,topogps_no_cue,0,1.32460001623258,3.0,0.0,1616,1312,432,1616,0.0,0.0,0,0.08
6,nn,0,0.08850000449456275,0.0,0.0,196,1979,1090,196,0.0,0.0,0,0.08
6,graph_ppr,1,6.409599998733029,0.0,0.0,196,1979,1090,1090,0.0,0.0,0,0.08
6,topogps_cuepath,1,2.276100014569238,3.0,0.0,196,1979,1090,1090,0.0,0.0,0,0.08
6,topogps_no_cue,0,1.2848000042140484,60.0,0.0,196,1979,1090,1979,0.0,0.0,0,0.08
7,nn,0,0.09799998952075839,0.0,0.0,213,992,454,992,0.0,0.0,0,0.08
7,graph_ppr,1,3.8965999847278,0.0,0.0,213,992,454,454,0.0,0.0,0,0.08
7,topogps_cuepath,1,1.8626999808475375,3.0,0.0,213,992,454,454,0.0,0.0,0,0.08
7,topogps_no_cue,0,1.3939999917056412,8.0,0.0,213,992,454,213,0.0,0.0,0,0.08
8,nn,0,0.10189999011345208,0.0,0.0,1783,18,1448,18,0.0,0.0,0,0.08
8,graph_ppr,1,4.7814999998081475,0.0,0.0,1783,18,1448,1448,0.0,0.0,0,0.08
8,topogps_cuepath,1,1.9029999966733158,3.0,0.0,1783,18,1448,1448,0.0,0.0,0,0.08
8,topogps_no_cue,0,1.2043000024277717,54.0,0.0,1783,18,1448,1783,0.0,0.0,0,0.08
9,nn,0,0.09310001041740179,0.0,0.0,238,1609,1448,238,0.0,0.0,0,0.08
9,graph_ppr,1,4.716800001915544,0.0,0.0,238,1609,1448,1448,0.0,0.0,0,0.08
9,topogps_cuepath,1,1.854100002674386,3.0,0.0,238,1609,1448,1448,0.0,0.0,0,0.08
9,topogps_no_cue,0,1.2120000028517097,54.0,0.0,238,1609,1448,1609,0.0,0.0,0,0.08
10,nn,0,0.10299999848939478,0.0,0.0,1953,1633,1448,1633,0.0,0.0,0,0.08
10,graph_ppr,1,4.222399991704151,0.0,0.0,1953,1633,1448,1448,0.0,0.0,0,0.08
10,topogps_cuepath,1,2.122400008374825,3.0,0.0,1953,1633,1448,1448,0.0,0.0,0,0.08
10,topogps_no_cue,0,1.218599994899705,54.0,0.0,1953,1633,1448,1633,0.0,0.0,0,0.08
11,nn,0,0.09630000567995012,0.0,0.0,1614,798,793,798,0.0,0.0,0,0.08
11,graph_ppr,1,4.144600010477006,0.0,0.0,1614,798,793,793,0.0,0.0,0,0.08
11,topogps_cuepath,1,1.8638000183273107,3.0,0.0,1614,798,793,793,0.0,0.0,0,0.08
11,topogps_no_cue,0,1.1607000196818262,46.0,0.0,1614,798,793,1614,0.0,0.0,0,0.08
12,nn,0,0.09200000204145908,0.0,0.0,721,1417,1448,721,0.0,0.0,0,0.08
12,graph_ppr,1,4.2434000060893595,0.0,0.0,721,1417,1448,1448,0.0,0.0,0,0.08
12,topogps_cuepath,1,2.151699998648837,3.0,0.0,721,1417,1448,1448,0.0,0.0,0,0.08
12,topogps_no_cue,0,1.2627000105567276,54.0,0.0,721,1417,1448,721,0.0,0.0,0,0.08
13,nn,0,0.08340002386830747,0.0,0.0,1263,1783,1448,1783,0.0,0.0,0,0.08
13,graph_ppr,1,4.167500010225922,0.0,0.0,1263,1783,1448,1448,0.0,0.0,0,0.08
13,topogps_cuepath,1,1.8355999782215804,3.0,0.0,1263,1783,1448,1448,0.0,0.0,0,0.08
13,topogps_no_cue,0,1.1897000076714903,54.0,0.0,1263,1783,1448,1783,0.0,0.0,0,0.08
14,nn,0,0.08490000618621707,0.0,0.0,47,238,1448,47,0.0,0.0,0,0.08
14,graph_ppr,1,4.261299996869639,0.0,0.0,47,238,1448,1448,0.0,0.0,0,0.08
