qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15480001457035542,0.0,0.0,992,454,316,454,0.5,0.0,0,0.08
0,graph_ppr,1,7.463099987944588,0.0,0.0,992,454,316,316,0.5,0.0,0,0.08
0,topogps,0,3.2392999855801463,1.0,0.0,992,454,316,992,0.5,0.0,0,0.08
0,topogps_no_cue,0,1.2676999904215336,3.0,0.0,992,454,316,454,0.5,0.0,0,0.08
1,nn,0,0.09330001194030046,0.0,0.0,624,1609,1448,1609,0.5,0.0,0,0.08
1,graph_ppr,1,4.243599978508428,0.0,0.0,624,1609,1448,1448,0.5,0.0,0,0.08
1,topogps,0,2.9544999997597188,1.0,0.0,624,1609,1448,624,0.5,0.0,0,0.08
1,topogps_no_cue,0,1.5635000017937273,25.0,0.0,624,1609,1448,1609,0.5,0.0,0,0.08
2,nn,0,0.1488000270910561,0.0,0.0,467,1868,962,467,0.5,0.0,0,0.08
2,graph_ppr,1,4.407600004924461,0.0,0.0,467,1868,962,962,0.5,0.0,0,0.08
2,topogps,0,2.776100009214133,1.0,0.0,467,1868,962,467,0.5,0.0,0,0.08
2,topogps_no_cue,0,1.2196000025141984,6.0,0.0,467,1868,962,1868,0.5,0.0,0,0.08
3,nn,0,0.12589999823831022,0.0,0.0,18,1953,1448,18,0.5,0.0,0,0.08
3,graph_ppr,1,3.802699997322634,0.0,0.0,18,1953,1448,1448,0.5,0.0,0,0.08
3,topogps,0,2.7728000131901354,1.0,0.0,18,1953,1448,18,0.5,0.0,0,0.08
3,topogps_no_cue,0,1.1223999899812043,1.0,0.0,18,1953,1448,1953,0.5,0.0,0,0.08
4,nn,0,0.08509997860528529,0.0,0.0,1609,1842,1448,1609,0.5,0.0,0,0.08
4,graph_ppr,1,4.3778000108432025,0.0,0.0,1609,1842,1448,1448,0.5,0.0,0,0.08
4,topogps,1,3.0226000235415995,3.0,0.0,1609,1842,1448,1448,0.5,0.0,0,0.08
4,topogps_no_cue,0,1.1697000009007752,25.0,0.0,1609,1842,1448,1842,0.5,0.0,0,0.08
5,nn,0,0.0889000075403601,0.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
5,graph_ppr,1,4.228700010571629,0.0,0.0,1616,1312,432,432,0.5,0.0,0,0.08
5,topogps,0,2.6513999910093844,1.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
5,topogps_no_cue,0,1.0843999916687608,1.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
6,nn,0,0.08850000449456275,0.0,0.0,196,1979,1090,196,0.5,0.0,0,0.08
6,graph_ppr,0,4.008599993539974,0.0,0.0,196,1979,1090,1448,0.5,0.0,0,0.08
6,topogps,0,2.951700007542968,1.0,0.0,196,1979,1090,196,0.5,0.0,0,0.08
6,topogps_no_cue,0,1.205300010042265,27.0,0.0,196,1979,1090,1979,0.5,0.0,0,0.08
7,nn,0,0.09739998495206237,0.0,0.0,213,992,454,992,0.5,0.0,0,0.08
7,graph_ppr,0,3.796800010604784,0.0,0.0,213,992,454,316,0.5,0.0,0,0.08
7,topogps,0,2.9018000059295446,1.0,0.0,213,992,454,213,0.5,0.0,0,0.08
7,topogps_no_cue,0,1.2240999785717577,1.0,0.0,213,992,454,213,0.5,0.0,0,0.08
8,nn,0,0.09649997809901834,0.0,0.0,1783,18,1448,18,0.5,0.0,0,0.08
8,graph_ppr,1,5.004100006772205,0.0,0.0,1783,18,1448,1448,0.5,0.0,0,0.08
8,topogps,1,2.8537000180222094,3.0,0.0,1783,18,1448,1448,0.5,0.0,0,0.08
8,topogps_no_cue,0,1.1863999825436622,25.0,0.0,1783,18,1448,1783,0.5,0.0,0,0.08
9,nn,0,0.08669999078847468,0.0,0.0,238,1609,1448,238,0.5,0.0,0,0.08
9,graph_ppr,1,4.043000022647902,0.0,0.0,238,1609,1448,1448,0.5,0.0,0,0.08
9,topogps,0,2.699800010304898,1.0,0.0,238,1609,1448,238,0.5,0.0,0,0.08
9,topogps_no_cue,0,1.1709999816957861,25.0,0.0,238,1609,1448,1609,0.5,0.0,0,0.08
10,nn,0,0.10989999282173812,0.0,0.0,1953,1633,1448,1633,0.5,0.0,0,0.08
10,graph_ppr,1,3.9071000064723194,0.0,0.0,1953,1633,1448,1448,0.5,0.0,0,0.08
10,topogps,0,2.864900015993044,1.0,0.0,1953,1633,1448,1953,0.5,0.0,0,0.08
10,topogps_no_cue,0,1.174500008346513,25.0,0.0,1953,1633,1448,1633,0.5,0.0,0,0.08
11,nn,0,0.09729998419061303,0.0,0.0,1614,798,793,798,0.5,0.0,0,0.08
11,graph_ppr,1,4.339899984188378,0.0,0.0,1614,798,793,793,0.5,0.0,0,0.08
11,topogps,1,2.7150000096298754,3.0,0.0,1614,798,793,793,0.5,0.0,0,0.08
11,topogps_no_cue,0,1.1230000236537308,27.0,0.0,1614,798,793,1614,0.5,0.0,0,0.08
12,nn,0,0.08880000677891076,0.0,0.0,721,1417,1448,721,0.5,0.0,0,0.08
12,graph_ppr,1,2.9580999980680645,0.0,0.0,721,1417,1448,1448,0.5,0.0,0,0.08
12,topogps,0,2.8104000084567815,1.0,0.0,721,1417,1448,721,0.5,0.0,0,0.08
12,topogps_no_cue,0,1.3391999818850309,1.0,0.0,721,1417,1448,721,0.5,0.0,0,0.08
13,nn,0,0.09099999442696571,0.0,0.0,1263,1783,1448,1783,0.5,0.0,0,0.08
13,graph_ppr,1,4.411200003232807,0.0,0.0,1263,1783,1448,1448,0.5,0.0,0,0.08
13,topogps,1,2.648199995746836,3.0,0.0,1263,1783,1448,1448,0.5,0.0,0,0.08
13,topogps_no_cue,0,1.1768999975174665,25.0,0.0,1263,1783,1448,1783,0.5,0.0,0,0.08
14,nn,0,0.11079999967478216,0.0,0.0,47,238,1448,47,0.5,0.0,0,0.08
14,graph_ppr,1,2.688899985514581,0.0,0.0,47,238,1448,1448,0.5,0.0,0,0.08
14,topogps,0,2.9544999997597188,1.0,0.0,47,238,1448,47,0.5,0.0,0,0.08
14,topogps_no_cue,0,1.1655999987851828,1.0,0.0,47,238,1448,47,0.5,0.0,0,0.08
