qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15120001626200974,0.0,0.0,992,454,316,454,0.0,0.0,0,0.08
0,graph_ppr,1,4.92629999644123,0.0,0.0,992,454,316,316,0.0,0.0,0,0.08
0,topogps,0,3.0049000051803887,2.0,0.0,992,454,316,992,0.0,0.0,0,0.08
0,topogps_no_cue,0,1.1765999952331185,8.0,0.0,992,454,316,454,0.0,0.0,0,0.08
1,nn,0,0.0900000159163028,0.0,0.0,624,1609,1448,1609,0.0,0.0,0,0.08
1,graph_ppr,1,4.337099991971627,0.0,0.0,624,1609,1448,1448,0.0,0.0,0,0.08
1,topogps,1,2.6547000161372125,3.0,0.0,624,1609,1448,1448,0.0,0.0,0,0.08
1,topogps_no_cue,0,1.2465000036172569,54.0,0.0,624,1609,1448,1609,0.0,0.0,0,0.08
2,nn,0,0.13639999087899923,0.0,0.0,467,1868,962,467,0.0,0.0,0,0.08
2,graph_ppr,1,4.976500000339001,0.0,0.0,467,1868,962,962,0.0,0.0,0,0.08
2,topogps,1,2.796199987642467,3.0,0.0,467,1868,962,962,0.0,0.0,0,0.08
2,topogps_no_cue,0,1.1424999975133687,10.0,0.0,467,1868,962,1868,0.0,0.0,0,0.08
3,nn,0,0.08859997615218163,0.0,0.0,18,1953,1448,18,0.0,0.0,0,0.08
3,graph_ppr,1,4.744800011394545,0.0,0.0,18,1953,1448,1448,0.0,0.0,0,0.08
3,topogps,1,2.6526000001467764,3.0,0.0,18,1953,1448,1448,0.0,0.0,0,0.08
3,topogps_no_cue,0,1.1909000168088824,54.0,0.0,18,1953,1448,1953,0.0,0.0,0,0.08
4,nn,0,0.08940001134760678,0.0,0.0,1609,1842,1448,1609,0.0,0.0,0,0.08
4,graph_ppr,1,4.356700024800375,0.0,0.0,1609,1842,1448,1448,0.0,0.0,0,0.08
4,topogps,1,2.7011000202037394,3.0,0.0,1609,1842,1448,1448,0.0,0.0,0,0.08
4,topogps_no_cue,0,1.2334999919403344,54.0,0.0,1609,1842,1448,1842,0.0,0.0,0,0.08
5,nn,0,0.09089999366551638,0.0,0.0,1616,1312,432,1616,0.0,0.0,0,0.08
5,graph_ppr,1,6.503799988422543,0.0,0.0,1616,1312,432,432,0.0,0.0,0,0.08
5,topogps,1,3.4810999932233244,3.0,0.0,1616,1312,432,432,0.0,0.0,0,0.08
5,topogps_no_cue,0,1.138299994636327,3.0,0.0,1616,1312,432,1616,0.0,0.0,0,0.08
6,nn,0,0.0948999950196594,0.0,0.0,196,1979,1090,196,0.0,0.0,0,0.08
6,graph_ppr,1,4.722100013168529,0.0,0.0,196,1979,1090,1090,0.0,0.0,0,0.08
6,topogps,1,3.0295999895315617,3.0,0.0,196,1979,1090,1090,0.0,0.0,0,0.08
6,topogps_no_cue,0,1.4437000208999962,60.0,0.0,196,1979,1090,1979,0.0,0.0,0,0.08
7,nn,0,0.09989997488446534,0.0,0.0,213,992,454,992,0.0,0.0,0,0.08
7,graph_ppr,1,2.845000009983778,0.0,0.0,213,992,454,454,0.0,0.0,0,0.08
7,topogps,1,2.7148000081069767,3.0,0.0,213,992,454,454,0.0,0.0,0,0.08
7,topogps_no_cue,0,1.156199985416606,8.0,0.0,213,992,454,213,0.0,0.0,0,0.08
8,nn,0,0.09049999061971903,0.0,0.0,1783,18,1448,18,0.0,0.0,0,0.08
8,graph_ppr,1,4.600599990226328,0.0,0.0,1783,18,1448,1448,0.0,0.0,0,0.08
8,topogps,1,2.731899992795661,3.0,0.0,1783,18,1448,1448,0.0,0.0,0,0.08
8,topogps_no_cue,0,1.219500001752749,54.0,0.0,1783,18,1448,1783,0.0,0.0,0,0.08
9,nn,0,0.09200000204145908,0.0,0.0,238,1609,1448,238,0.0,0.0,0,0.08
9,graph_ppr,1,4.1671000071801245,0.0,0.0,238,1609,1448,1448,0.0,0.0,0,0.08
9,topogps,1,2.7246999961789697,3.0,0.0,238,1609,1448,1448,0.0,0.0,0,0.08
9,topogps_no_cue,0,1.217699988046661,54.0,0.0,238,1609,1448,1609,0.0,0.0,0,0.08
10,nn,0,0.09139999747276306,0.0,0.0,1953,1633,1448,1633,0.0,0.0,0,0.08
10,graph_ppr,1,4.174899979261681,0.0,0.0,1953,1633,1448,1448,0.0,0.0,0,0.08
10,topogps,1,2.9667000053450465,3.0,0.0,1953,1633,1448,1448,0.0,0.0,0,0.08
10,topogps_no_cue,0,1.1940999829676002,54.0,0.0,1953,1633,1448,1633,0.0,0.0,0,0.08
11,nn,0,0.0872999953571707,0.0,0.0,1614,798,793,798,0.0,0.0,0,0.08
11,graph_ppr,1,4.143900005146861,0.0,0.0,1614,798,793,793,0.0,0.0,0,0.08
11,topogps,1,2.7565000054892153,3.0,0.0,1614,798,793,793,0.0,0.0,0,0.08
11,topogps_no_cue,0,1.1495999933686107,46.0,0.0,1614,798,793,1614,0.0,0.0,0,0.08
12,nn,0,0.11259998427703977,0.0,0.0,721,1417,1448,721,0.0,0.0,0,0.08
12,graph_ppr,1,5.116499989526346,0.0,0.0,721,1417,1448,1448,0.0,0.0,0,0.08
12,topogps,1,2.664200001163408,3.0,0.0,721,1417,1448,1448,0.0,0.0,0,0.08
12,topogps_no_cue,0,1.1845999979414046,54.0,0.0,721,1417,1448,721,0.0,0.0,0,0.08
13,nn,0,0.08650001836940646,0.0,0.0,1263,1783,1448,1783,0.0,0.0,0,0.08
13,graph_ppr,1,4.166899976553395,0.0,0.0,1263,1783,1448,1448,0.0,0.0,0,0.08
13,topogps,1,2.7094999968539923,3.0,0.0,1263,1783,1448,1448,0.0,0.0,0,0.08
13,topogps_no_cue,0,1.2229999992996454,54.0,0.0,1263,1783,1448,1783,0.0,0.0,0,0.08
14,nn,0,0.08570001227781177,0.0,0.0,47,238,1448,47,0.0,0.0,0,0.08
14,graph_ppr,1,4.127399995923042,0.0,0.0,47,238,1448,1448,0.0,0.0,0,0.08
14,topogps,1,2.6230000075884163,3.0,0.0,47,238,1448,1448,0.0,0.0,0,0.08
14,topogps_no_cue,0,1.1941999837290496,54.0,0.0,47,238,1448,47,0.0,0.0,0,0.08
