qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15770000754855573,0.0,0.0,992,454,316,454,0.0,0.0,40,0.08
0,graph_ppr,1,4.824500007089227,0.0,0.0,992,454,316,316,0.0,0.0,40,0.08
0,topogps_cuepath,0,2.123900019796565,2.0,0.0,992,454,316,454,0.0,0.0,40,0.08
0,topogps_no_cue,0,59.667800000170246,8.0,40.0,992,454,316,454,0.0,0.0,40,0.08
1,nn,0,0.13770000077784061,0.0,0.0,624,1609,1448,1609,0.0,0.0,40,0.08
1,graph_ppr,1,5.363699980080128,0.0,0.0,624,1609,1448,1448,0.0,0.0,40,0.08
1,topogps_cuepath,1,2.0351999846752733,3.0,0.0,624,1609,1448,1448,0.0,0.0,40,0.08
1,topogps_no_cue,0,50.87849998380989,54.0,36.0,624,1609,1448,624,0.0,0.0,40,0.08
2,nn,0,0.1466000103391707,0.0,0.0,467,1868,962,467,0.0,0.0,40,0.08
2,graph_ppr,1,4.20919997850433,0.0,0.0,467,1868,962,962,0.0,0.0,40,0.08
2,topogps_cuepath,1,1.8727999995462596,3.0,0.0,467,1868,962,962,0.0,0.0,40,0.08
2,topogps_no_cue,0,40.33859999617562,10.0,28.0,467,1868,962,1868,0.0,0.0,40,0.08
3,nn,0,0.14879999798722565,0.0,0.0,18,1953,1448,18,0.0,0.0,40,0.08
3,graph_ppr,1,4.188599996268749,0.0,0.0,18,1953,1448,1448,0.0,0.0,40,0.08
3,topogps_cuepath,1,2.027699985774234,3.0,0.0,18,1953,1448,1448,0.0,0.0,40,0.08
3,topogps_no_cue,0,57.938899990404025,54.0,40.0,18,1953,1448,1953,0.0,0.0,40,0.08
4,nn,0,0.1585999852977693,0.0,0.0,1609,1842,1448,1609,0.0,0.0,40,0.08
4,graph_ppr,1,4.207499994663522,0.0,0.0,1609,1842,1448,1448,0.0,0.0,40,0.08
4,topogps_cuepath,1,1.9536000036168844,3.0,0.0,1609,1842,1448,1448,0.0,0.0,40,0.08
4,topogps_no_cue,0,50.757399993017316,54.0,35.0,1609,1842,1448,1842,0.0,0.0,40,0.08
5,nn,0,0.16200001118704677,0.0,0.0,1616,1312,432,1616,0.0,0.0,40,0.08
5,graph_ppr,1,4.173499997705221,0.0,0.0,1616,1312,432,432,0.0,0.0,40,0.08
5,topogps_cuepath,1,1.9148999999742955,3.0,0.0,1616,1312,432,432,0.0,0.0,40,0.08
5,topogps_no_cue,0,57.621899992227554,3.0,40.0,1616,1312,432,1312,0.0,0.0,40,0.08
6,nn,0,0.15129998791962862,0.0,0.0,196,1979,1090,196,0.0,0.0,40,0.08
6,graph_ppr,1,4.190499981632456,0.0,0.0,196,1979,1090,1090,0.0,0.0,40,0.08
6,topogps_cuepath,1,2.440400014165789,3.0,0.0,196,1979,1090,1090,0.0,0.0,40,0.08
6,topogps_no_cue,0,53.48269999376498,60.0,37.0,196,1979,1090,1979,0.0,0.0,40,0.08
7,nn,0,0.10120001388713717,0.0,0.0,213,992,454,992,0.0,0.0,40,0.08
7,graph_ppr,1,2.9747999797109514,0.0,0.0,213,992,454,454,0.0,0.0,40,0.08
7,topogps_cuepath,1,2.397700009169057,3.0,0.0,213,992,454,454,0.0,0.0,40,0.08
7,topogps_no_cue,0,58.209100010572,8.0,40.0,213,992,454,213,0.0,0.0,40,0.08
8,nn,0,0.1367000222671777,0.0,0.0,1783,18,1448,18,0.0,0.0,40,0.08
8,graph_ppr,1,4.180599993560463,0.0,0.0,1783,18,1448,1448,0.0,0.0,40,0.08
8,topogps_cuepath,1,1.9370999943930656,3.0,0.0,1783,18,1448,1448,0.0,0.0,40,0.08
8,topogps_no_cue,0,49.25280000315979,54.0,34.0,1783,18,1448,1783,0.0,0.0,40,0.08
9,nn,0,0.13800000306218863,0.0,0.0,238,1609,1448,238,0.0,0.0,40,0.08
9,graph_ppr,1,4.2668999813031405,0.0,0.0,238,1609,1448,1448,0.0,0.0,40,0.08
9,topogps_cuepath,1,2.1655999880749732,3.0,0.0,238,1609,1448,1448,0.0,0.0,40,0.08
9,topogps_no_cue,0,54.66069999965839,54.0,38.0,238,1609,1448,238,0.0,0.0,40,0.08
10,nn,0,0.17410001601092517,0.0,0.0,1953,1633,1448,1633,0.0,0.0,40,0.08
