qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.14790002023801208,0.0,0.0,992,454,316,454,0.3,0.0,0,0.08
0,graph_ppr,1,4.770900006406009,0.0,0.0,992,454,316,316,0.3,0.0,0,0.08
0,topogps,0,2.9676000121980906,2.0,0.0,992,454,316,992,0.3,0.0,0,0.08
0,topogps_no_cue,0,1.1602999875321984,7.0,0.0,992,454,316,454,0.3,0.0,0,0.08
1,nn,0,0.09519999730400741,0.0,0.0,624,1609,1448,1609,0.3,0.0,0,0.08
1,graph_ppr,1,5.899100011447445,0.0,0.0,624,1609,1448,1448,0.3,0.0,0,0.08
1,topogps,0,3.541200014296919,1.0,0.0,624,1609,1448,624,0.3,0.0,0,0.08
1,topogps_no_cue,0,1.2189999979455024,42.0,0.0,624,1609,1448,1609,0.3,0.0,0,0.08
2,nn,0,0.08930001058615744,0.0,0.0,467,1868,962,467,0.3,0.0,0,0.08
2,graph_ppr,1,4.232599982060492,0.0,0.0,467,1868,962,962,0.3,0.0,0,0.08
2,topogps,1,2.7061000000685453,3.0,0.0,467,1868,962,962,0.3,0.0,0,0.08
2,topogps_no_cue,0,1.3208999880589545,10.0,0.0,467,1868,962,1868,0.3,0.0,0,0.08
3,nn,0,0.09350001346319914,0.0,0.0,18,1953,1448,18,0.3,0.0,0,0.08
3,graph_ppr,1,4.348000016761944,0.0,0.0,18,1953,1448,1448,0.3,0.0,0,0.08
3,topogps,1,2.9297999863047153,3.0,0.0,18,1953,1448,1448,0.3,0.0,0,0.08
3,topogps_no_cue,0,1.1715999862644821,42.0,0.0,18,1953,1448,1953,0.3,0.0,0,0.08
4,nn,0,0.08749999688006938,0.0,0.0,1609,1842,1448,1609,0.3,0.0,0,0.08
4,graph_ppr,1,4.22699999762699,0.0,0.0,1609,1842,1448,1448,0.3,0.0,0,0.08
4,topogps,1,2.7612000121735036,3.0,0.0,1609,1842,1448,1448,0.3,0.0,0,0.08
4,topogps_no_cue,0,1.203799998620525,42.0,0.0,1609,1842,1448,1842,0.3,0.0,0,0.08
5,nn,0,0.08559998241253197,0.0,0.0,1616,1312,432,1616,0.3,0.0,0,0.08
5,graph_ppr,1,3.766900015762076,0.0,0.0,1616,1312,432,432,0.3,0.0,0,0.08
5,topogps,0,2.6766000082716346,1.0,0.0,1616,1312,432,1616,0.3,0.0,0,0.08
5,topogps_no_cue,0,1.1755999876186252,1.0,0.0,1616,1312,432,1616,0.3,0.0,0,0.08
6,nn,0,0.09050001972354949,0.0,0.0,196,1979,1090,196,0.3,0.0,0,0.08
6,graph_ppr,0,3.862000012304634,0.0,0.0,196,1979,1090,1448,0.3,0.0,0,0.08
6,topogps,0,2.678500022739172,1.0,0.0,196,1979,1090,196,0.3,0.0,0,0.08
6,topogps_no_cue,0,1.197300007333979,45.0,0.0,196,1979,1090,1979,0.3,0.0,0,0.08
7,nn,0,0.09440002031624317,0.0,0.0,213,992,454,992,0.3,0.0,0,0.08
7,graph_ppr,1,2.658800018252805,0.0,0.0,213,992,454,454,0.3,0.0,0,0.08
7,topogps,0,2.6943999982904643,1.0,0.0,213,992,454,213,0.3,0.0,0,0.08
7,topogps_no_cue,0,1.116400002501905,1.0,0.0,213,992,454,213,0.3,0.0,0,0.08
8,nn,0,0.09099999442696571,0.0,0.0,1783,18,1448,18,0.3,0.0,0,0.08
8,graph_ppr,1,4.246600001351908,0.0,0.0,1783,18,1448,1448,0.3,0.0,0,0.08
8,topogps,1,2.8340000135358423,3.0,0.0,1783,18,1448,1448,0.3,0.0,0,0.08
8,topogps_no_cue,0,1.254500006325543,42.0,0.0,1783,18,1448,1783,0.3,0.0,0,0.08
9,nn,0,0.10380000458098948,0.0,0.0,238,1609,1448,238,0.3,0.0,0,0.08
9,graph_ppr,1,4.282100009731948,0.0,0.0,238,1609,1448,1448,0.3,0.0,0,0.08
9,topogps,1,2.8553000011015683,3.0,0.0,238,1609,1448,1448,0.3,0.0,0,0.08
9,topogps_no_cue,0,1.1778000043705106,42.0,0.0,238,1609,1448,1609,0.3,0.0,0,0.08
10,nn,0,0.09250000584870577,0.0,0.0,1953,1633,1448,1633,0.3,0.0,0,0.08
10,graph_ppr,1,4.429599997820333,0.0,0.0,1953,1633,1448,1448,0.3,0.0,0,0.08
