qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.225800002226606,0.0,0.0,992,454,316,454,0.5,0.0,0,0.08
0,graph_ppr,1,4.8716000164859,0.0,0.0,992,454,316,316,0.5,0.0,0,0.08
0,topogps_cuepath,0,2.218100009486079,1.0,0.0,992,454,316,992,0.5,0.0,0,0.08
0,topogps_no_cue,0,1.2559999886434525,3.0,0.0,992,454,316,454,0.5,0.0,0,0.08
1,nn,0,0.0892000098247081,0.0,0.0,624,1609,1448,1609,0.5,0.0,0,0.08
1,graph_ppr,1,3.997700026957318,0.0,0.0,624,1609,1448,1448,0.5,0.0,0,0.08
1,topogps_cuepath,0,1.9966000108979642,1.0,0.0,624,1609,1448,624,0.5,0.0,0,0.08
1,topogps_no_cue,0,1.2593000137712806,25.0,0.0,624,1609,1448,1609,0.5,0.0,0,0.08
2,nn,0,0.09839999256655574,0.0,0.0,467,1868,962,467,0.5,0.0,0,0.08
2,graph_ppr,1,3.795299999183044,0.0,0.0,467,1868,962,962,0.5,0.0,0,0.08
2,topogps_cuepath,0,1.9936999888159335,1.0,0.0,467,1868,962,467,0.5,0.0,0,0.08
2,topogps_no_cue,0,1.2522999895736575,6.0,0.0,467,1868,962,1868,0.5,0.0,0,0.08
3,nn,0,0.11409999569877982,0.0,0.0,18,1953,1448,18,0.5,0.0,0,0.08
3,graph_ppr,1,4.442100005690008,0.0,0.0,18,1953,1448,1448,0.5,0.0,0,0.08
3,topogps_cuepath,0,2.0437999919522554,1.0,0.0,18,1953,1448,18,0.5,0.0,0,0.08
3,topogps_no_cue,0,1.1666000063996762,1.0,0.0,18,1953,1448,1953,0.5,0.0,0,0.08
4,nn,0,0.0914999982342124,0.0,0.0,1609,1842,1448,1609,0.5,0.0,0,0.08
4,graph_ppr,1,4.362800013041124,0.0,0.0,1609,1842,1448,1448,0.5,0.0,0,0.08
4,topogps_cuepath,1,1.9511999853421003,3.0,0.0,1609,1842,1448,1448,0.5,0.0,0,0.08
4,topogps_no_cue,0,1.19270000141114,25.0,0.0,1609,1842,1448,1842,0.5,0.0,0,0.08
5,nn,0,0.08100000559352338,0.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
5,graph_ppr,1,3.926900011720136,0.0,0.0,1616,1312,432,432,0.5,0.0,0,0.08
5,topogps_cuepath,0,2.12320001446642,1.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
5,topogps_no_cue,0,1.3076000032015145,1.0,0.0,1616,1312,432,1616,0.5,0.0,0,0.08
6,nn,0,0.16609998419880867,0.0,0.0,196,1979,1090,196,0.5,0.0,0,0.08
6,graph_ppr,0,4.21220000134781,0.0,0.0,196,1979,1090,1448,0.5,0.0,0,0.08
6,topogps_cuepath,0,2.0209999929647893,1.0,0.0,196,1979,1090,196,0.5,0.0,0,0.08
