qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.14869999722577631,0.0,0.0,992,454,316,454,0.7,0.0,0,0.08
0,graph_ppr,0,7.6348999864421785,0.0,0.0,992,454,316,296,0.7,0.0,0,0.08
0,topogps,0,3.140399989206344,1.0,0.0,992,454,316,992,0.7,0.0,0,0.08
0,topogps_no_cue,0,1.2292999890632927,2.0,0.0,992,454,316,454,0.7,0.0,0,0.08
1,nn,0,0.09180000051856041,0.0,0.0,624,1609,1448,1609,0.7,0.0,0,0.08
1,graph_ppr,1,4.0206999983638525,0.0,0.0,624,1609,1448,1448,0.7,0.0,0,0.08
1,topogps,0,2.7677000034600496,1.0,0.0,624,1609,1448,624,0.7,0.0,0,0.08
1,topogps_no_cue,0,1.2945000198669732,9.0,0.0,624,1609,1448,1609,0.7,0.0,0,0.08
2,nn,0,0.10740000288933516,0.0,0.0,467,1868,962,467,0.7,0.0,0,0.08
2,graph_ppr,1,3.9997000130824745,0.0,0.0,467,1868,962,962,0.7,0.0,0,0.08
2,topogps,0,2.9470000008586794,1.0,0.0,467,1868,962,467,0.7,0.0,0,0.08
2,topogps_no_cue,0,1.1295000149402767,5.0,0.0,467,1868,962,1868,0.7,0.0,0,0.08
3,nn,0,0.08800000068731606,0.0,0.0,18,1953,1448,18,0.7,0.0,0,0.08
3,graph_ppr,0,2.3111999907996505,0.0,0.0,18,1953,1448,328,0.7,0.0,0,0.08
3,topogps,0,2.6187000039499253,1.0,0.0,18,1953,1448,18,0.7,0.0,0,0.08
3,topogps_no_cue,0,1.0825000063050538,1.0,0.0,18,1953,1448,1953,0.7,0.0,0,0.08
4,nn,0,0.086199986981228,0.0,0.0,1609,1842,1448,1609,0.7,0.0,0,0.08
4,graph_ppr,1,3.9593999972566962,0.0,0.0,1609,1842,1448,1448,0.7,0.0,0,0.08
4,topogps,0,2.743499993812293,1.0,0.0,1609,1842,1448,1609,0.7,0.0,0,0.08
4,topogps_no_cue,0,1.1359000054653734,1.0,0.0,1609,1842,1448,1842,0.7,0.0,0,0.08
5,nn,0,0.08600001456215978,0.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
5,graph_ppr,1,3.848899999866262,0.0,0.0,1616,1312,432,432,0.7,0.0,0,0.08
5,topogps,0,2.675499999895692,1.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
5,topogps_no_cue,0,1.1134000087622553,1.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
6,nn,0,0.08730002446100116,0.0,0.0,196,1979,1090,196,0.7,0.0,0,0.08
6,graph_ppr,1,3.98560002213344,0.0,0.0,196,1979,1090,1090,0.7,0.0,0,0.08
6,topogps,0,2.8680000104941428,1.0,0.0,196,1979,1090,196,0.7,0.0,0,0.08
6,topogps_no_cue,0,1.1879000230692327,3.0,0.0,196,1979,1090,1979,0.7,0.0,0,0.08
7,nn,0,0.09450002107769251,0.0,0.0,213,992,454,992,0.7,0.0,0,0.08
7,graph_ppr,0,3.8453000015579164,0.0,0.0,213,992,454,316,0.7,0.0,0,0.08
7,topogps,0,2.6772999844979495,1.0,0.0,213,992,454,213,0.7,0.0,0,0.08
7,topogps_no_cue,0,1.1477000080049038,1.0,0.0,213,992,454,213,0.7,0.0,0,0.08
8,nn,0,0.09079999290406704,0.0,0.0,1783,18,1448,18,0.7,0.0,0,0.08
8,graph_ppr,1,4.169699997873977,0.0,0.0,1783,18,1448,1448,0.7,0.0,0,0.08
8,topogps,0,2.8392999956849962,1.0,0.0,1783,18,1448,1783,0.7,0.0,0,0.08
8,topogps_no_cue,0,1.1442999821156263,9.0,0.0,1783,18,1448,1783,0.7,0.0,0,0.08
9,nn,0,0.08600001456215978,0.0,0.0,238,1609,1448,238,0.7,0.0,0,0.08
9,graph_ppr,1,6.026599992765114,0.0,0.0,238,1609,1448,1448,0.7,0.0,0,0.08
9,topogps,0,2.678399992873892,1.0,0.0,238,1609,1448,238,0.7,0.0,0,0.08
9,topogps_no_cue,0,1.1300999904051423,9.0,0.0,238,1609,1448,1609,0.7,0.0,0,0.08
10,nn,0,0.09670000872574747,0.0,0.0,1953,1633,1448,1633,0.7,0.0,0,0.08
10,graph_ppr,1,3.9009000174701214,0.0,0.0,1953,1633,1448,1448,0.7,0.0,0,0.08
10,topogps,0,2.7479999989736825,1.0,0.0,1953,1633,1448,1953,0.7,0.0,0,0.08
10,topogps_no_cue,0,1.182800013339147,9.0,0.0,1953,1633,1448,1633,0.7,0.0,0,0.08
11,nn,0,0.09339998359791934,0.0,0.0,1614,798,793,798,0.7,0.0,0,0.08
11,graph_ppr,1,3.8862999936100096,0.0,0.0,1614,798,793,793,0.7,0.0,0,0.08
11,topogps,0,2.929999987827614,1.0,0.0,1614,798,793,1614,0.7,0.0,0,0.08
11,topogps_no_cue,0,1.1631000088527799,1.0,0.0,1614,798,793,1614,0.7,0.0,0,0.08
12,nn,0,0.1060000213328749,0.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
12,graph_ppr,0,2.3691000242251903,0.0,0.0,721,1417,1448,328,0.7,0.0,0,0.08
12,topogps,0,2.7768000145442784,1.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
12,topogps_no_cue,0,1.167700014775619,1.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
13,nn,0,0.09629997657611966,0.0,0.0,1263,1783,1448,1783,0.7,0.0,0,0.08
13,graph_ppr,1,3.875399997923523,0.0,0.0,1263,1783,1448,1448,0.7,0.0,0,0.08
13,topogps,0,3.3011999912559986,1.0,0.0,1263,1783,1448,1263,0.7,0.0,0,0.08
13,topogps_no_cue,0,1.2189999979455024,9.0,0.0,1263,1783,1448,1783,0.7,0.0,0,0.08
14,nn,0,0.10070001007989049,0.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
14,graph_ppr,0,2.332500007469207,0.0,0.0,47,238,1448,328,0.7,0.0,0,0.08
14,topogps,0,3.236600023228675,1.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
14,topogps_no_cue,0,1.4806999824941158,1.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
