qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.1488000270910561,0.0,0.0,992,454,316,454,0.0,0.0,40,0.08
0,graph_ppr,1,4.931300005409867,0.0,0.0,992,454,316,316,0.0,0.0,40,0.08
0,topogps,0,60.38300000363961,2.0,40.0,992,454,316,992,0.0,0.0,40,0.08
0,topogps_no_cue,0,57.701599987922236,8.0,40.0,992,454,316,454,0.0,0.0,40,0.08
1,nn,0,0.15609999536536634,0.0,0.0,624,1609,1448,1609,0.0,0.0,40,0.08
1,graph_ppr,1,4.279400018276647,0.0,0.0,624,1609,1448,1448,0.0,0.0,40,0.08
1,topogps,1,59.528900019358844,3.0,40.0,624,1609,1448,1448,0.0,0.0,40,0.08
1,topogps_no_cue,0,52.38780000945553,54.0,36.0,624,1609,1448,624,0.0,0.0,40,0.08
2,nn,0,0.15740000526420772,0.0,0.0,467,1868,962,467,0.0,0.0,40,0.08
2,graph_ppr,1,4.545700008748099,0.0,0.0,467,1868,962,962,0.0,0.0,40,0.08
2,topogps,1,57.848399999784306,3.0,40.0,467,1868,962,962,0.0,0.0,40,0.08
2,topogps_no_cue,0,40.7503999886103,10.0,28.0,467,1868,962,1868,0.0,0.0,40,0.08
3,nn,0,0.16559998039156199,0.0,0.0,18,1953,1448,18,0.0,0.0,40,0.08
3,graph_ppr,1,4.821000009542331,0.0,0.0,18,1953,1448,1448,0.0,0.0,40,0.08
3,topogps,1,59.25329998717643,3.0,40.0,18,1953,1448,1448,0.0,0.0,40,0.08
3,topogps_no_cue,0,57.544899987988174,54.0,40.0,18,1953,1448,1953,0.0,0.0,40,0.08
4,nn,0,0.13489997945725918,0.0,0.0,1609,1842,1448,1609,0.0,0.0,40,0.08
4,graph_ppr,1,4.276299994671717,0.0,0.0,1609,1842,1448,1448,0.0,0.0,40,0.08
4,topogps,1,59.4066999910865,3.0,40.0,1609,1842,1448,1448,0.0,0.0,40,0.08
4,topogps_no_cue,0,50.68559999926947,54.0,35.0,1609,1842,1448,1842,0.0,0.0,40,0.08
5,nn,0,0.13770000077784061,0.0,0.0,1616,1312,432,1616,0.0,0.0,40,0.08
5,graph_ppr,1,4.1796000150498,0.0,0.0,1616,1312,432,432,0.0,0.0,40,0.08
5,topogps,1,59.41060002078302,3.0,40.0,1616,1312,432,432,0.0,0.0,40,0.08
5,topogps_no_cue,0,59.12660001195036,3.0,40.0,1616,1312,432,1312,0.0,0.0,40,0.08
6,nn,0,0.14899999951012433,0.0,0.0,196,1979,1090,196,0.0,0.0,40,0.08
6,graph_ppr,1,4.412499984027818,0.0,0.0,196,1979,1090,1090,0.0,0.0,40,0.08
6,topogps,1,58.433700003661215,3.0,40.0,196,1979,1090,1090,0.0,0.0,40,0.08
6,topogps_no_cue,0,53.7968999997247,60.0,37.0,196,1979,1090,1979,0.0,0.0,40,0.08
7,nn,0,0.15009997878223658,0.0,0.0,213,992,454,992,0.0,0.0,40,0.08
7,graph_ppr,1,3.5438000049907714,0.0,0.0,213,992,454,454,0.0,0.0,40,0.08
7,topogps,1,59.77700001676567,3.0,40.0,213,992,454,454,0.0,0.0,40,0.08
7,topogps_no_cue,0,58.03169999853708,8.0,40.0,213,992,454,213,0.0,0.0,40,0.08
8,nn,0,0.13730002683587372,0.0,0.0,1783,18,1448,18,0.0,0.0,40,0.08
8,graph_ppr,1,5.208600021433085,0.0,0.0,1783,18,1448,1448,0.0,0.0,40,0.08
8,topogps,1,59.17849999968894,3.0,40.0,1783,18,1448,1448,0.0,0.0,40,0.08
