qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15209999401122332,0.0,0.0,992,454,316,454,0.5,0.0,40,0.08
0,graph_ppr,1,7.525699998950586,0.0,0.0,992,454,316,316,0.5,0.0,40,0.08
0,topogps_cuepath,0,2.227899996796623,1.0,0.0,992,454,316,992,0.5,0.0,40,0.08
0,topogps_no_cue,0,60.399800015147775,3.0,40.0,992,454,316,454,0.5,0.0,40,0.08
1,nn,0,0.14659998123534024,0.0,0.0,624,1609,1448,1609,0.5,0.0,40,0.08
1,graph_ppr,1,4.1708000062499195,0.0,0.0,624,1609,1448,1448,0.5,0.0,40,0.08
1,topogps_cuepath,0,1.9330999930389225,1.0,0.0,624,1609,1448,624,0.5,0.0,40,0.08
1,topogps_no_cue,0,51.7556999984663,25.0,36.0,624,1609,1448,624,0.5,0.0,40,0.08
2,nn,0,0.13120000949129462,0.0,0.0,467,1868,962,467,0.5,0.0,40,0.08
2,graph_ppr,1,3.9216999721247703,0.0,0.0,467,1868,962,962,0.5,0.0,40,0.08
2,topogps_cuepath,0,1.996500010136515,1.0,0.0,467,1868,962,467,0.5,0.0,40,0.08
2,topogps_no_cue,0,40.34539998974651,6.0,28.0,467,1868,962,1868,0.5,0.0,40,0.08
3,nn,0,0.1483999949414283,0.0,0.0,18,1953,1448,18,0.5,0.0,40,0.08
3,graph_ppr,1,4.110600013518706,0.0,0.0,18,1953,1448,1448,0.5,0.0,40,0.08
3,topogps_cuepath,0,2.3917999933473766,1.0,0.0,18,1953,1448,18,0.5,0.0,40,0.08
3,topogps_no_cue,0,56.77510000532493,1.0,40.0,18,1953,1448,1953,0.5,0.0,40,0.08
4,nn,0,0.12969999806955457,0.0,0.0,1609,1842,1448,1609,0.5,0.0,40,0.08
4,graph_ppr,1,4.433299996890128,0.0,0.0,1609,1842,1448,1448,0.5,0.0,40,0.08
4,topogps_cuepath,1,1.9102999940514565,3.0,0.0,1609,1842,1448,1448,0.5,0.0,40,0.08
4,topogps_no_cue,0,49.847899994347245,25.0,35.0,1609,1842,1448,1842,0.5,0.0,40,0.08
5,nn,0,0.13340002624318004,0.0,0.0,1616,1312,432,1616,0.5,0.0,40,0.08
5,graph_ppr,1,3.8730000087525696,0.0,0.0,1616,1312,432,432,0.5,0.0,40,0.08
5,topogps_cuepath,0,1.892999978736043,1.0,0.0,1616,1312,432,1616,0.5,0.0,40,0.08
5,topogps_no_cue,0,58.11189999803901,1.0,40.0,1616,1312,432,1312,0.5,0.0,40,0.08
6,nn,0,0.1886000100057572,0.0,0.0,196,1979,1090,196,0.5,0.0,40,0.08
6,graph_ppr,0,4.049399984069169,0.0,0.0,196,1979,1090,1448,0.5,0.0,40,0.08
6,topogps_cuepath,0,1.8994999991264194,1.0,0.0,196,1979,1090,196,0.5,0.0,40,0.08
6,topogps_no_cue,0,52.067399985389784,27.0,37.0,196,1979,1090,1979,0.5,0.0,40,0.08
7,nn,0,0.15419998089782894,0.0,0.0,213,992,454,992,0.5,0.0,40,0.08
7,graph_ppr,0,4.232100007357076,0.0,0.0,213,992,454,316,0.5,0.0,40,0.08
7,topogps_cuepath,0,1.9606999994721264,1.0,0.0,213,992,454,213,0.5,0.0,40,0.08
7,topogps_no_cue,0,57.90290000732057,1.0,40.0,213,992,454,213,0.5,0.0,40,0.08
8,nn,0,0.14000001829117537,0.0,0.0,1783,18,1448,18,0.5,0.0,40,0.08
8,graph_ppr,1,5.39310000021942,0.0,0.0,1783,18,1448,1448,0.5,0.0,40,0.08
8,topogps_cuepath,1,1.8994999991264194,3.0,0.0,1783,18,1448,1448,0.5,0.0,40,0.08
8,topogps_no_cue,0,49.049199995351955,25.0,34.0,1783,18,1448,1783,0.5,0.0,40,0.08
9,nn,0,0.16029999824240804,0.0,0.0,238,1609,1448,238,0.5,0.0,40,0.08
9,graph_ppr,1,4.087299981620163,0.0,0.0,238,1609,1448,1448,0.5,0.0,40,0.08
9,topogps_cuepath,0,1.8699000065680593,1.0,0.0,238,1609,1448,238,0.5,0.0,40,0.08
9,topogps_no_cue,0,55.35609999787994,25.0,38.0,238,1609,1448,238,0.5,0.0,40,0.08
10,nn,0,0.16500000492669642,0.0,0.0,1953,1633,1448,1633,0.5,0.0,40,0.08
