qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.148899998748675,0.0,0.0,992,454,316,454,0.7,0.0,40,0.08
0,graph_ppr,0,7.6277999905869365,0.0,0.0,992,454,316,296,0.7,0.0,40,0.08
0,topogps,0,67.09160000900738,1.0,40.0,992,454,316,992,0.7,0.0,40,0.08
0,topogps_no_cue,0,65.8701999927871,2.0,40.0,992,454,316,454,0.7,0.0,40,0.08
1,nn,0,0.15209999401122332,0.0,0.0,624,1609,1448,1609,0.7,0.0,40,0.08
1,graph_ppr,1,4.162700002780184,0.0,0.0,624,1609,1448,1448,0.7,0.0,40,0.08
1,topogps,0,67.56060000043362,1.0,40.0,624,1609,1448,624,0.7,0.0,40,0.08
1,topogps_no_cue,0,59.0659000154119,9.0,36.0,624,1609,1448,624,0.7,0.0,40,0.08
2,nn,0,0.09729998419061303,0.0,0.0,467,1868,962,467,0.7,0.0,40,0.08
2,graph_ppr,1,4.431599983945489,0.0,0.0,467,1868,962,962,0.7,0.0,40,0.08
2,topogps,0,21.263600006932393,1.0,11.0,467,1868,962,934,0.7,0.0,40,0.08
2,topogps_no_cue,0,47.53760001040064,5.0,28.0,467,1868,962,1868,0.7,0.0,40,0.08
3,nn,0,0.12700000661425292,0.0,0.0,18,1953,1448,18,0.7,0.0,40,0.08
3,graph_ppr,0,2.5710000190883875,0.0,0.0,18,1953,1448,328,0.7,0.0,40,0.08
3,topogps,0,17.408500018063933,1.0,9.0,18,1953,1448,865,0.7,0.0,40,0.08
3,topogps_no_cue,0,66.30080001195893,1.0,40.0,18,1953,1448,1953,0.7,0.0,40,0.08
4,nn,0,0.13260002015158534,0.0,0.0,1609,1842,1448,1609,0.7,0.0,40,0.08
4,graph_ppr,1,3.9675000007264316,0.0,0.0,1609,1842,1448,1448,0.7,0.0,40,0.08
4,topogps,0,65.99199998890981,1.0,40.0,1609,1842,1448,1609,0.7,0.0,40,0.08
4,topogps_no_cue,0,57.359500002348796,1.0,35.0,1609,1842,1448,1842,0.7,0.0,40,0.08
5,nn,0,0.14509999891743064,0.0,0.0,1616,1312,432,1616,0.7,0.0,40,0.08
5,graph_ppr,1,4.279499989934266,0.0,0.0,1616,1312,432,432,0.7,0.0,40,0.08
5,topogps,0,65.71049999911338,1.0,40.0,1616,1312,432,1616,0.7,0.0,40,0.08
5,topogps_no_cue,0,64.70360001549125,1.0,40.0,1616,1312,432,1312,0.7,0.0,40,0.08
6,nn,0,0.14700001338496804,0.0,0.0,196,1979,1090,196,0.7,0.0,40,0.08
6,graph_ppr,1,4.32040001032874,0.0,0.0,196,1979,1090,1090,0.7,0.0,40,0.08
6,topogps,0,59.08469998394139,1.0,36.0,196,1979,1090,389,0.7,0.0,40,0.08
6,topogps_no_cue,0,59.092999988934025,3.0,37.0,196,1979,1090,1979,0.7,0.0,40,0.08
7,nn,0,0.1703999878372997,0.0,0.0,213,992,454,992,0.7,0.0,40,0.08
7,graph_ppr,0,4.143099999055266,0.0,0.0,213,992,454,316,0.7,0.0,40,0.08
7,topogps,0,65.30289998045191,1.0,40.0,213,992,454,213,0.7,0.0,40,0.08
7,topogps_no_cue,0,63.7877999979537,1.0,40.0,213,992,454,213,0.7,0.0,40,0.08
8,nn,0,0.1652000064495951,0.0,0.0,1783,18,1448,18,0.7,0.0,40,0.08
8,graph_ppr,1,4.584899987094104,0.0,0.0,1783,18,1448,1448,0.7,0.0,40,0.08
8,topogps,0,69.3514000158757,1.0,40.0,1783,18,1448,1783,0.7,0.0,40,0.08
8,topogps_no_cue,0,54.47400000412017,9.0,34.0,1783,18,1448,1783,0.7,0.0,40,0.08
9,nn,0,0.14990000636316836,0.0,0.0,238,1609,1448,238,0.7,0.0,40,0.08
9,graph_ppr,1,4.0923999913502485,0.0,0.0,238,1609,1448,1448,0.7,0.0,40,0.08
9,topogps,0,19.03979998314753,1.0,10.0,238,1609,1448,1236,0.7,0.0,40,0.08
9,topogps_no_cue,0,60.70450000697747,9.0,38.0,238,1609,1448,238,0.7,0.0,40,0.08
10,nn,0,0.15269999857991934,0.0,0.0,1953,1633,1448,1633,0.7,0.0,40,0.08
10,graph_ppr,1,4.252899991115555,0.0,0.0,1953,1633,1448,1448,0.7,0.0,40,0.08
10,topogps,0,65.50899997819215,1.0,40.0,1953,1633,1448,1953,0.7,0.0,40,0.08
10,topogps_no_cue,0,53.123799996683374,9.0,32.0,1953,1633,1448,1953,0.7,0.0,40,0.08
11,nn,0,0.13920001219958067,0.0,0.0,1614,798,793,798,0.7,0.0,40,0.08
11,graph_ppr,1,4.0917000151239336,0.0,0.0,1614,798,793,793,0.7,0.0,40,0.08
11,topogps,0,65.30479999491945,1.0,40.0,1614,798,793,1614,0.7,0.0,40,0.08
11,topogps_no_cue,0,59.54519999795593,1.0,37.0,1614,798,793,798,0.7,0.0,40,0.08
12,nn,0,0.1312999811489135,0.0,0.0,721,1417,1448,721,0.7,0.0,40,0.08
12,graph_ppr,0,2.463699987856671,0.0,0.0,721,1417,1448,328,0.7,0.0,40,0.08
12,topogps,0,29.793199995765463,1.0,17.0,721,1417,1448,1359,0.7,0.0,40,0.08
12,topogps_no_cue,0,47.45429998729378,1.0,29.0,721,1417,1448,721,0.7,0.0,40,0.08
13,nn,0,0.1464999804738909,0.0,0.0,1263,1783,1448,1783,0.7,0.0,40,0.08
13,graph_ppr,1,4.148800013354048,0.0,0.0,1263,1783,1448,1448,0.7,0.0,40,0.08
13,topogps,0,67.53120000939816,1.0,40.0,1263,1783,1448,1538,0.7,0.0,40,0.08
13,topogps_no_cue,0,47.858099977020174,9.0,30.0,1263,1783,1448,1783,0.7,0.0,40,0.08
14,nn,0,0.14509999891743064,0.0,0.0,47,238,1448,47,0.7,0.0,40,0.08
14,graph_ppr,0,2.7608000091277063,0.0,0.0,47,238,1448,328,0.7,0.0,40,0.08
14,topogps,0,28.574899974046275,1.0,16.0,47,238,1448,1737,0.7,0.0,40,0.08
14,topogps_no_cue,0,44.51129998778924,1.0,27.0,47,238,1448,1737,0.7,0.0,40,0.08
