task,qid,method,cue_a,cue_b,target_idx,pred_idx,success,rt_ms,coarse_visited,fine_steps
associative,0,nn,0,1500,2502,1500,0,0.07039998308755457,0,0
associative,1,nn,1500,500,2505,500,0,0.022199994418770075,0,0
associative,2,nn,500,2000,2506,500,0,0.019500002963468432,0,0
associative,3,nn,1500,1000,2507,1500,0,0.01819999306462705,0,0
associative,4,nn,1000,1500,2507,1500,0,0.01789999078027904,0,0
associative,5,nn,2000,0,2503,0,0,0.01610000617802143,0,0
associative,6,nn,0,500,2500,500,0,0.01759998849593103,0,0
associative,7,nn,500,0,2500,500,0,0.018799997633323073,0,0
associative,8,nn,1000,0,2501,0,0,0.014899997040629387,0,0
associative,9,nn,500,0,2500,500,0,0.01309998333454132,0,0
associative,10,nn,0,1500,2502,1500,0,0.014599994756281376,0,0
associative,11,nn,1000,2000,2508,2186,0,0.01409999094903469,0,0
associative,12,nn,1000,500,2504,500,0,0.01409999094903469,0,0
associative,13,nn,1500,2000,2509,1500,0,0.016900012269616127,0,0
associative,14,nn,0,1500,2502,1500,0,0.015900004655122757,0,0
associative,15,nn,500,2000,2506,500,0,0.014600023860111833,0,0
associative,16,nn,1000,0,2501,0,0,0.01170000177808106,0,0
associative,17,nn,2000,1500,2509,1500,0,0.014199991710484028,0,0
associative,18,nn,500,1000,2504,500,0,0.011600001016631722,0,0
associative,19,nn,1500,0,2502,1500,0,0.012600008631125093,0,0
associative,20,nn,2000,0,2503,0,0,0.012500007869675756,0,0
associative,21,nn,0,1000,2501,0,0,0.011600001016631722,0,0
associative,22,nn,1500,2000,2509,1500,0,0.011500000255182385,0,0
associative,23,nn,0,1000,2501,0,0,0.011599971912801266,0,0
associative,24,nn,1500,500,2505,500,0,0.013800017768517137,0,0
associative,25,nn,500,1000,2504,500,0,0.016499980119988322,0,0
associative,26,nn,1500,2000,2509,1500,0,0.015099998563528061,0,0
associative,27,nn,2000,1500,2509,1500,0,0.015300000086426735,0,0
associative,28,nn,500,1000,2504,500,0,0.01479999627918005,0,0
associative,29,nn,1500,500,2505,500,0,0.011800002539530396,0,0
associative,30,nn,1000,500,2504,500,0,0.01170000177808106,0,0
associative,31,nn,1500,1000,2507,1500,0,0.015700003132224083,0,0
associative,32,nn,0,2000,2503,0,0,0.015400000847876072,0,0
associative,33,nn,0,1000,2501,0,0,0.01559997326694429,0,0
associative,34,nn,2000,0,2503,0,0,0.014300021575763822,0,0
associative,35,nn,500,1500,2505,500,0,0.015600002370774746,0,0
associative,36,nn,1500,2000,2509,1500,0,0.01270000939257443,0,0
associative,37,nn,1500,1000,2507,1500,0,0.01209997572004795,0,0
associative,38,nn,0,2000,2503,0,0,0.0137000170070678,0,0
associative,39,nn,1000,0,2501,0,0,0.012699980288743973,0,0
associative,40,nn,0,2000,2503,0,0,0.013499986380338669,0,0
associative,41,nn,0,500,2500,500,0,0.01379998866468668,0,0
associative,42,nn,2000,1000,2508,2186,0,0.013900018529966474,0,0
associative,43,nn,1500,0,2502,1500,0,0.015600002370774746,0,0
associative,44,nn,500,2000,2506,500,0,0.015500001609325409,0,0
associative,45,nn,1000,0,2501,0,0,0.016699981642886996,0,0
associative,46,nn,1500,0,2502,1500,0,0.01170000177808106,0,0
associative,47,nn,0,500,2500,500,0,0.011600001016631722,0,0
associative,48,nn,500,1500,2505,500,0,0.011600001016631722,0,0
associative,49,nn,1000,2000,2508,2186,0,0.011299998732283711,0,0
associative,50,nn,500,1000,2504,500,0,0.011299998732283711,0,0
associative,51,nn,500,1000,2504,500,0,0.011399999493733048,0,0
associative,52,nn,1000,0,2501,0,0,0.011500000255182385,0,0
associative,53,nn,1500,1000,2507,1500,0,0.01270000939257443,0,0
associative,54,nn,1500,0,2502,1500,0,0.01580000389367342,0,0
associative,55,nn,1000,2000,2508,2186,0,0.01379998866468668,0,0
associative,56,nn,1500,500,2505,500,0,0.015400000847876072,0,0
associative,57,nn,0,2000,2503,0,0,0.016000005416572094,0,0
associative,58,nn,0,1000,2501,0,0,0.015600002370774746,0,0
associative,59,nn,1500,1000,2507,1500,0,0.01279998105019331,0,0
associative,60,nn,500,2000,2506,500,0,0.01170000177808106,0,0
associative,61,nn,0,2000,2503,0,0,0.011299998732283711,0,0
