id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00000,nn,c3_110,c1_110,bridge_c1_c3,c3_110,0,0,0,0.054,256,1,42,2000
q00000,minsim,c3_110,c1_110,bridge_c1_c3,bridge_c1_c3,1,0,0,0.0202,256,1,42,2000
q00000,graph_ppr,c3_110,c1_110,bridge_c1_c3,c3_016,0,0,0,6.9948,256,1,42,2000
q00000,topogps,c3_110,c1_110,bridge_c1_c3,c3_016,0,9,120,9.8395,256,1,42,2000
q00000,topogps_cuepath,c3_110,c1_110,bridge_c1_c3,c3_104,0,9,0,1.5367,256,1,42,2000
q00000,topogps_no_cue,c3_110,c1_110,bridge_c1_c3,c3_110,0,196,120,9.1157,256,1,42,2000
q00001,nn,c3_055,c4_055,bridge_c3_c4,c3_055,0,0,0,0.0061,256,1,42,2000
q00001,minsim,c3_055,c4_055,bridge_c3_c4,bridge_c3_c4,1,0,0,0.0109,256,1,42,2000
q00001,graph_ppr,c3_055,c4_055,bridge_c3_c4,c4_078,0,0,0,4.0397,256,1,42,2000
q00001,topogps,c3_055,c4_055,bridge_c3_c4,c3_104,0,6,120,8.6725,256,1,42,2000
q00001,topogps_cuepath,c3_055,c4_055,bridge_c3_c4,bridge_c3_c4,1,6,0,1.2021,256,1,42,2000
q00001,topogps_no_cue,c3_055,c4_055,bridge_c3_c4,c3_055,0,173,120,8.6823,256,1,42,2000
q00002,nn,c0_094,c4_094,bridge_c0_c4,c0_094,0,0,0,0.006,256,1,42,2000
q00002,minsim,c0_094,c4_094,bridge_c0_c4,bridge_c0_c4,1,0,0,0.0076,256,1,42,2000
q00002,graph_ppr,c0_094,c4_094,bridge_c0_c4,c4_026,0,0,0,3.8163,256,1,42,2000
q00002,topogps,c0_094,c4_094,bridge_c0_c4,c0_028,0,5,120,8.8282,256,1,42,2000
q00002,topogps_cuepath,c0_094,c4_094,bridge_c0_c4,bridge_c0_c4,1,5,0,1.1048,256,1,42,2000
q00002,topogps_no_cue,c0_094,c4_094,bridge_c0_c4,c0_094,0,382,120,9.4756,256,1,42,2000
q00003,nn,c4_009,c2_009,bridge_c2_c4,c4_009,0,0,0,0.0073,256,1,42,2000
q00003,minsim,c4_009,c2_009,bridge_c2_c4,bridge_c2_c4,1,0,0,0.0091,256,1,42,2000
q00003,graph_ppr,c4_009,c2_009,bridge_c2_c4,c2_089,0,0,0,3.7727,256,1,42,2000
q00003,topogps,c4_009,c2_009,bridge_c2_c4,bridge_c2_c4,1,5,120,7.5444,256,1,42,2000
q00003,topogps_cuepath,c4_009,c2_009,bridge_c2_c4,bridge_c2_c4,1,5,0,0.9753,256,1,42,2000
q00003,topogps_no_cue,c4_009,c2_009,bridge_c2_c4,c4_026,0,313,120,8.0669,256,1,42,2000
q00004,nn,c0_040,c3_040,bridge_c0_c3,c0_040,0,0,0,0.0057,256,1,42,2000
q00004,minsim,c0_040,c3_040,bridge_c0_c3,bridge_c0_c3,1,0,0,0.008,256,1,42,2000
q00004,graph_ppr,c0_040,c3_040,bridge_c0_c3,c3_016,0,0,0,3.7897,256,1,42,2000
q00004,topogps,c0_040,c3_040,bridge_c0_c3,c0_010,0,7,120,9.2865,256,1,42,2000
q00004,topogps_cuepath,c0_040,c3_040,bridge_c0_c3,bridge_c0_c3,1,7,0,1.2759,256,1,42,2000
q00004,topogps_no_cue,c0_040,c3_040,bridge_c0_c3,c0_040,0,197,120,8.8259,256,1,42,2000
q00005,nn,c2_097,c4_097,bridge_c2_c4,c2_097,0,0,0,0.0058,256,1,42,2000
q00005,minsim,c2_097,c4_097,bridge_c2_c4,bridge_c2_c4,1,0,0,0.0082,256,1,42,2000
