id,task,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00000,associative,nn,c3_110,c1_110,bridge_c1_c3_110,c3_110,0,0,0,0.0424,256,1,42,2000
q00000,associative,minsim,c3_110,c1_110,bridge_c1_c3_110,c3_047,0,0,0,0.0295,256,1,42,2000
q00000,associative,graph_ppr,c3_110,c1_110,bridge_c1_c3_110,bridge_c1_c3_110,1,0,0,16.7786,256,1,42,2000
q00000,associative,topogps,c3_110,c1_110,bridge_c1_c3_110,bridge_c1_c3_110,1,3,0,1.2782,256,1,42,2000
q00000,associative,topogps_cuepath,c3_110,c1_110,bridge_c1_c3_110,bridge_c1_c3_110,1,3,0,0.558,256,1,42,2000
q00000,associative,topogps_no_cue,c3_110,c1_110,bridge_c1_c3_110,c3_110,0,2450,120,21.0803,256,1,42,2000
q00001,associative,nn,c3_055,c4_055,bridge_c3_c4_055,c3_055,0,0,0,0.009,256,1,42,2000
q00001,associative,minsim,c3_055,c4_055,bridge_c3_c4_055,c3_104,0,0,0,0.014,256,1,42,2000
q00001,associative,graph_ppr,c3_055,c4_055,bridge_c3_c4_055,bridge_c3_c4_055,1,0,0,10.1397,256,1,42,2000
q00001,associative,topogps,c3_055,c4_055,bridge_c3_c4_055,bridge_c3_c4_055,1,3,1,0.8685,256,1,42,2000
q00001,associative,topogps_cuepath,c3_055,c4_055,bridge_c3_c4_055,bridge_c3_c4_055,1,3,0,0.5327,256,1,42,2000
q00001,associative,topogps_no_cue,c3_055,c4_055,bridge_c3_c4_055,c3_055,0,2462,120,21.0374,256,1,42,2000
q00002,associative,nn,c0_094,c4_094,bridge_c0_c4_094,c0_094,0,0,0,0.0085,256,1,42,2000
q00002,associative,minsim,c0_094,c4_094,bridge_c0_c4_094,c0_018,0,0,0,0.0128,256,1,42,2000
q00002,associative,graph_ppr,c0_094,c4_094,bridge_c0_c4_094,bridge_c0_c4_094,1,0,0,10.0833,256,1,42,2000
q00002,associative,topogps,c0_094,c4_094,bridge_c0_c4_094,bridge_c0_c4_094,1,3,0,0.7919,256,1,42,2000
q00002,associative,topogps_cuepath,c0_094,c4_094,bridge_c0_c4_094,bridge_c0_c4_094,1,3,0,0.5238,256,1,42,2000
q00002,associative,topogps_no_cue,c0_094,c4_094,bridge_c0_c4_094,bridge_c0_c1_057,0,2500,120,22.4317,256,1,42,2000
q00003,associative,nn,c4_009,c2_009,bridge_c2_c4_009,c4_009,0,0,0,0.0082,256,1,42,2000
q00003,associative,minsim,c4_009,c2_009,bridge_c2_c4_009,c2_037,0,0,0,0.0127,256,1,42,2000
q00003,associative,graph_ppr,c4_009,c2_009,bridge_c2_c4_009,bridge_c2_c4_009,1,0,0,10.2106,256,1,42,2000
q00003,associative,topogps,c4_009,c2_009,bridge_c2_c4_009,bridge_c2_c4_009,1,3,0,0.8601,256,1,42,2000
q00003,associative,topogps_cuepath,c4_009,c2_009,bridge_c2_c4_009,bridge_c2_c4_009,1,3,0,0.5597,256,1,42,2000
q00003,associative,topogps_no_cue,c4_009,c2_009,bridge_c2_c4_009,c4_026,0,2500,120,22.1674,256,1,42,2000
q00004,associative,nn,c0_040,c3_040,bridge_c0_c3_040,c0_040,0,0,0,0.0088,256,1,42,2000
q00004,associative,minsim,c0_040,c3_040,bridge_c0_c3_040,c4_106,0,0,0,0.0132,256,1,42,2000
q00004,associative,graph_ppr,c0_040,c3_040,bridge_c0_c3_040,bridge_c0_c3_040,1,0,0,10.1721,256,1,42,2000
q00004,associative,topogps,c0_040,c3_040,bridge_c0_c3_040,bridge_c0_c3_040,1,3,0,0.8056,256,1,42,2000
q00004,associative,topogps_cuepath,c0_040,c3_040,bridge_c0_c3_040,bridge_c0_c3_040,1,3,0,0.5257,256,1,42,2000
q00004,associative,topogps_no_cue,c0_040,c3_040,bridge_c0_c3_040,c0_040,0,2500,120,21.6542,256,1,42,2000
q00005,associative,nn,c2_097,c4_097,bridge_c2_c4_097,c2_097,0,0,0,0.0081,256,1,42,2000
q00005,associative,minsim,c2_097,c4_097,bridge_c2_c4_097,c2_108,0,0,0,0.0126,256,1,42,2000
q00005,associative,graph_ppr,c2_097,c4_097,bridge_c2_c4_097,bridge_c2_c4_097,1,0,0,10.2259,256,1,42,2000
q00005,associative,topogps,c2_097,c4_097,bridge_c2_c4_097,bridge_c2_c4_097,1,3,1,0.8808,256,1,42,2000
q00005,associative,topogps_cuepath,c2_097,c4_097,bridge_c2_c4_097,bridge_c2_c4_097,1,3,0,0.5417,256,1,42,2000
q00005,associative,topogps_no_cue,c2_097,c4_097,bridge_c2_c4_097,c2_097,0,2500,120,21.5664,256,1,42,2000
q00006,associative,nn,c4_067,c1_067,bridge_c1_c4_067,c4_067,0,0,0,0.0082,256,1,42,2000
q00006,associative,minsim,c4_067,c1_067,bridge_c1_c4_067,c1_083,0,0,0,0.0125,256,1,42,2000
q00006,associative,graph_ppr,c4_067,c1_067,bridge_c1_c4_067,bridge_c1_c4_067,1,0,0,10.6965,256,1,42,2000
q00006,associative,topogps,c4_067,c1_067,bridge_c1_c4_067,bridge_c1_c4_067,1,3,0,0.8377,256,1,42,2000
q00006,associative,topogps_cuepath,c4_067,c1_067,bridge_c1_c4_067,bridge_c1_c4_067,1,3,0,0.5673,256,1,42,2000
q00006,associative,topogps_no_cue,c4_067,c1_067,bridge_c1_c4_067,c4_067,0,2500,120,21.3885,256,1,42,2000
q00007,associative,nn,c1_115,c4_115,bridge_c1_c4_115,c1_115,0,0,0,0.0082,256,1,42,2000
q00007,associative,minsim,c1_115,c4_115,bridge_c1_c4_115,c1_010,0,0,0,0.0127,256,1,42,2000
q00007,associative,graph_ppr,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,0,0,10.1276,256,1,42,2000
q00007,associative,topogps,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,3,1,0.8626,256,1,42,2000
q00007,associative,topogps_cuepath,c1_115,c4_115,bridge_c1_c4_115,bridge_c1_c4_115,1,3,0,0.5207,256,1,42,2000
q00007,associative,topogps_no_cue,c1_115,c4_115,bridge_c1_c4_115,c1_115,0,2500,120,21.4851,256,1,42,2000
q00008,associative,nn,c1_070,c0_070,bridge_c0_c1_070,c1_070,0,0,0,0.0083,256,1,42,2000
q00008,associative,minsim,c1_070,c0_070,bridge_c0_c1_070,c4_062,0,0,0,0.0129,256,1,42,2000
q00008,associative,graph_ppr,c1_070,c0_070,bridge_c0_c1_070,bridge_c0_c1_070,1,0,0,10.3073,256,1,42,2000
