qid,method,success,rt_ms,coarse_visited,fine_steps
0,nn,0,0.169299979461357,0.0,0.0
1,nn,0,0.1086000120267272,0.0,0.0
2,nn,0,0.09809999028220773,0.0,0.0
3,nn,0,0.09330001194030046,0.0,0.0
4,nn,0,0.08359999628737569,0.0,0.0
5,nn,0,0.09079999290406704,0.0,0.0
0,graph_ppr,1,3.586100006941706,0.0,0.0
1,graph_ppr,1,4.4501000083982944,0.0,0.0
2,graph_ppr,1,4.446500010089949,0.0,0.0
3,graph_ppr,1,4.17659999220632,0.0,0.0
4,graph_ppr,1,4.120500001590699,0.0,0.0
5,graph_ppr,1,2.7455000090412796,0.0,0.0
0,topogps,0,16.180900012841448,2.0,7.0
1,topogps,1,62.38010001834482,3.0,40.0
2,topogps,1,62.61110000195913,3.0,40.0
3,topogps,1,60.788200004026294,3.0,40.0
4,topogps,1,61.11360000795685,3.0,40.0
5,topogps,1,62.222099979408085,3.0,40.0
0,topogps_cuepath,0,2.7307000127620995,2.0,0.0
1,topogps_cuepath,1,2.0755000005010515,3.0,0.0
2,topogps_cuepath,1,2.1102000027894974,3.0,0.0
3,topogps_cuepath,1,1.955600018845871,3.0,0.0
4,topogps_cuepath,1,1.8900000141002238,3.0,0.0
5,topogps_cuepath,1,2.2743000008631498,3.0,0.0
0,topogps_no_cue,0,57.95579997356981,3.0,38.0
1,topogps_no_cue,0,56.03389997850172,19.0,38.0
2,topogps_no_cue,0,47.26279998430982,19.0,32.0
3,topogps_no_cue,0,45.76639999868348,3.0,31.0
4,topogps_no_cue,0,43.00350000266917,19.0,29.0
5,topogps_no_cue,0,58.88200001209043,9.0,40.0
